cause,effect,explanation
She bought a new kind of honey.,She preferred the viscosity of the old honey.,Honey has viscosities.
The patient can't stop coughing.,The doctor gave him some medicine involving codeine.,Codeine relieves coughs.
The stone was erosed.,The smooth becomes smooth.,Stone has smooth surfaces.
The wrapping materials were degraded.,Prominent reduction of their pollution was achieved.,Degradation is the degradation of the wrapping materials.
They tested the fatty acids in a variety of fish.,Salmon is found highest.,Salmon contains the highest levels of fatty acids.
There are many cocoons spuns in leaf litter on the ground.,Many caterpillars pupate here.,Coccoons mate in cocoons.
Tom has been very anxious about work recently.,He suffered from depression.,Depression is a common symptom of anxiety.
There is no food in the village.,All the villagers went on strike.,Strikes cause hunger.
The driver wore a pair of sungalsses.,His eyes can adapt to bright conditions.,Songs have brilliant red irises.
The scientist studies cloning.,She knows much about the process of producing clones.,Cloning involves cloning.
Jane saw the driver killed by others.,She is the witness of the homicide.,Murder is defined as the killing of another human being by another.
I had allergic reactions to a number of dairy drinks.,Buttermilk was my allergen.,Termilk is a natural laxative.
There are not too many people in this village.,The government can't take use of the universal method.,Towns use universal methods.
Tom put some yeast when baking.,He made delicious bread.,Yeast is used to make good bread.
The production of mineral extraction processing has been drastically reduced.,There is a shortage of raw materials for tailings processing plants.,Tailings are the process of processing minerals from raw materials.
Tom bought a lot marijuana by coincidence.,He kept it for its high potential.,Marijuana has high potential because it contains high levels of cannabidiol.
Tom read the manual carefully.,He found many pictures.,Manuals have pictures.
He was sentenced to prison.,He surprisingly found that prisoners could read in the reading room and learn about the outside world through TV.,Prisoners have ability.
I planted watermelon in my garden.,I used pesticides to them.,Pesticides are chemicals used to kill weeds.
We are in the age of digitalization.,The process of converting from analog equipment to digital occurs in our daily life.,Digitalization is the process of transferring data from one electronic system to another.
Tom's turnover and cost are equal this month.,Tom's profit is 0 this month.,Calculations take into consideration the cost of goods sold.
Caterpillars are not colorful.,Caterpillars are not as pretty as butterflies.,Colour is the ability of plants to adapt to environmental conditions.
Bob's mentality has changed a lot recently.,He became mature.,Persistence is the ability to adapt to change.
Mike was asked to create a new template.,Mike should take scientific facts into consideration.,Template refers to scientific facts.
The service staff of this hotel lack management.,The service quality of the hotel has seriously declined.,Management is the quality of services rendered by employees.
Jerry doesn't want to hiccup.,The only way is not to breathe.,Hiccup causes breathing problems.
The garden bloomed with roses.,He found that different rose leaves had different shapes.,Roses vary in shape depending on the type of flower they are growing in.
They are poor and can't work.,They receive government benefits every month.,Benefits include unemployment benefits.
Tom keeps a poodle.,His monthly expenses soars.,Poodles require annual expenses.
Tom has compacted the plant.,Tom has calculate the density of the plants in a wrong way.,Distribution depends on density.
The doctor adopted radiotherapy to treat his cancer.,The cancer cells died because they lost the ability to multiple.,Radiotherapy is the treatment of multiple cell death.
He fastened seatbelts when getting on the bus.,He wasn't thrown from the bus in the  car accident.,Seatbelts provide protection.
Technology has been advanced.,The electronic devices human use become more abundant.,Electromechanical components are the electronic components used to make electronic devices.
Tom had a lung infection.,He was sent to the hospital for treatment soon.,Lung infections can be life-threatening.
Jack ate rotten fruit.,Jack has a stomach bug.,Bites are caused by rotting fruit.
The farm is worried about the decrease in the number of bees this year.,The farm brings in artificial pollination researchers.,Pollination refers to the removal of harmful chemicals from the environment.
There is a starving tayra.,The starving tayra ate lots of fruits.,Tayras are omnivores.
Women's health care providers with advanced educations deserves respect.,My mom as a midwife was respected by others.,Midwifes are physicians who specialize in the care of women.
Thomas is an Indian.,He hunts deer for a living.,Indians are hunters.
Scientists have bred a new type of crop with grapes and resistant species.,Scientists have crossed grapes with other species.,Grapes are resistant to a wide variety of herbicides.
These bodies in the universe are large enough to be detectable by telescope.,They are called as Asteroids.,Astronomers use telescopes to study the universe.
Many domestic cats lack the ability of adaptation.,They can't live well in a strange environment.,Cats rely on natural selection to survive.
Lisa lacks water in her body.,Lisa goes to hospital to inject salt water.,Salt water is used as an anti-diarrheal agent.
Cathy put on some lotion today.,Cathy's skin looked beautiful.,Beauty comes from skin.
The president recently felt worse.,He was diagnosed with heart diseases.,Obesity is a leading cause of death in the United States.
"During the Republican period, warlords strictly controlled public opinion.",Intellectuals hid in Peking University's library to debate.,Warlords are masters of concealment.
Logan is allergic to chrysanthemum.,He can't get close to pyrethrum.,Pyrethrum is one of the most toxic substances known to man.
He wanted to uproot this disease from the pathogenesis.,He checked his intestinnal cell.,Uteruses contain intestinal cells.
They replaced the city's streetlights with ones that run on photovoltaic cells.,These lights turn on automatically when the sun's rays disappear.,Photovoltaics produce electricity.
Tonight's homework is to draw an angel.,Tom draws wings first.,Angeles have wings.
There is no stick between these two carbon atoms.,There is no bond between these two carbon atoms.,Sticks have diameters.
She can't digest well.,She has some yogurt after dinner.,Yogurt is a rich source of fiber.
Lucy falied in her experiment.,She found there was some trouble with the sources of data.,Errors cause problems.
Tom is not in good health and is always ill.,He is much better after taking health products.,Prescription drugs can reduce the risk of serious side effects.
The instruction of the prevention and control of COVID-19 in the city required the closure of public places.,The libraries in the city were closed according to the instruction.,Libraries are places open to the public.
Tom has a tumour in his stomach.,He found an oncologist to treat him.,Oncologists treat tumours.
He has been emotionally unstable recently.,He was in a bad mood and cried every day.,Depression can be a symptom of emotional instability.
Little Henry always goes to the intertidal zone to pick up seafood to eat.,Chitons can always be seen on the dining table in their home.,Cheese is one of the most common foods eaten by chitons.
Cannabis has destroyed some families.,There are people suffering from social drugs.,Diseases can occur in families.
He got kidney stones.,He can take some medicine to force kidney stones to come out through ureters.,Ureters are the most common cause of kidney stones in young children.
Only the strong plants that was native to the desert environments can survive here.,We should plant pistachios here.,Pistachios are native to desert environments.
Tom put the seeds in the greenhouse.,The seeds germinated.,Havengers produce seeds.
I plant gourds and squash.,There is something in commen between them.,Gourds produce seeds.
There was a swamp in the village.,The villagers found it became stagnant water after several years.,Swamps have stagnant water.
"Since entering this profession, Tom has always reminded himself to keep his head clear.","Five years later, Tom become the CEO of a listed company.",Heads have heads.
An eclipse is going to occur in one hour.,Numerous of viewers have gathered on the playground.,Adults watch eclipses.
Artificial ecosystems are ecosystems that have been formed after human intervention and modification.,Microbes provide the fundamental underpinning in artificial ecosystems.,Adaptation is the process of transforming a natural ecosystem into an artificial one.
Lucy will accumulate a lot in peacetime.,She is a very good interpreter.,Persons use language.
He established his own company ten years ago and runs it successfully.,He is a great entrepreneur.,Ten years ago was a good time to start a business.
Tom had Shigellosis.,Only his feces could transmit the disease to others.,Feces carry diseases.
The general had excellent exertions in the war.,The enemies were strongly influenced.,Emotions influence actions.
The breeder feeds pelicans a lot of food every day.,Pelicans is very healthy.,Breeders feed pelican diets.
Tom has to type an essay.,He thought about the framework quickly.,Typing is the process of thinking about a text.
The mouth of the cicadas was removed.,It couldn't suck sap anymore.,Cicadas swallow sap.
They need to study enhancer regions that control gene expression in organisms.,Their research is mainly carried out in eukaryotes.,Eukaries are among the most abundant of all vertebrates on the planet.
The hospital hold many patients with parastic.,Most death of the patients are caused by amebiasis.,Parastasis is a common cause of death in patients with anemia.
He was looking for the location of osteophytes.,Eventually he found that it present on the ventrolateral surfaces of vertebral body.,Osteophytes are present in the ventral surface of vertebrae on the lateral surfaces of the verte.
Tom needs to compress liquids and gases every day.,He prefers to compressing the gases.,Compression is the process of adding pressure to a fluid.
Tom cuts through epidermises.,He found a lot of layers.,Epidermis has layers.
There was an excess terminal hair growth in a female with a male distribution pattern.,The doctor thought she had hirsutism.,Hirsuchism is a male-to-female distribution pattern of excess terminal hairs growth.
John's favourite flower is the cyclamen.,He travelled to the Mediterranean region from Spain to Iran to learn about the history of cyclamen.,Cyclamen is one of the oldest flowering plants known to man.
Tom needs to test the decarboxylation of organic matter.,The organic matter needs to be heated to provide the conditions for electron migration.,Decarbolysis is the process of converting the carbon dioxide in the atmosphere into a solid.
The light bounces off my mirror.,Reflection of light occurred on my mirror.,Reflectivity is a measure of the amount of light bouncing off the surface of an object.
There are many asteroids in the night sky.,These asteroids form a line.,Astronomers use their binoculars to look at.
This town made a new road last year.,The town's economy is muchu better now.,Roads produce jobs.
Leeches feed on blood.,The doctor used leeches to remove excess blood.,Leeches are very effective at removing excess blood from the blood stream.
Mary used cosmetics.,She felt dry eyes.,Cosmetics irritate the skin.
Tom tried to find nettles in the garden.,Tom paied special attention to those white flowers.,Nettles are one of the most common flowering plants in the United States.
The battle is a stimuli.,The battle triggers world war I.,Stimuli trigger stimuli.
There are some waterways.,Many hippopotamus live there.,Hippopotamuses live in many aquatic habitats.
This bag containing special plastic materials was given to scientists.,The materials were identified.,Scientists identify plastic materials.
The old couple are abondoned by their only son.,Their village takes the responsibility to take care of them.,Towns have responsibility.
Crystallization was used for this solid.,This solid was purified.,Sedimentation is the process of crystallization of a solid.
There are more than a million asteroids in the universe.,They are very diverse.,Astronomers study the diversity of life on earth.
The teacher drew a picture of local terrains.,Tom saw waves representing the ravines.,Ravines have wave shapes.
I am sitting in the library.,Books surrounding me cause my desire to read.,Libraries have books.
There used to be a kingdom.,Many people lived in the kingdom.,Kingdoms have rulers.
Jack looked carefully at the baobabs.,He found that it had grey bark.,Baobabs have gray bark.
My mentor stressed the realibility of my measurement.,I began to improve its reproducibility.,Reproducibility refers to the ability of measurement to reproduce itself.
Tom touched the heating steel.,His felt the scalding steel.,Scalding is a common cause of heat loss.
He often feeds herbs to rabbits.,Rabbits rarely get sick.,Bunnies are omnivores.
This factory raises a lot of rabbits and foxs.,Fur companies often come to the factory to buy leather.,Leather is made from animal hides.
Tom wants to be president.,His group begins advertising.,Advertising is the process of getting people to sign up.
There has been a historic battle in this city.,Many people have experienced the violent treatment.,Victims suffer violence.
The structure of sentences can be complicated.,Syntax is not very easy.,Syntax requires structure.
Tom has bought something in a waxy solid state.,He found that was a spermaceti.,Spermaceti is a solid-state liquid.
Tom got distracted during the exam.,He got a failure in the examination.,Failure is an indication of impairment.
Rita has been jogging for two hours and oxygen in her blood is declining.,Her face looks not as red as she just started jogging.,Jogging causes a decrease in the amount of oxygen in the blood.
The villagers found very small microcrystalline interstitial patches.,One of them recognized it as a plagioclase.,Plagioclases are tiny microcrystals with very small interstitial patch.
There are more dugongs crowded in the sea.,They reproduce more geerations.,Geeration is the breeding ground of many marine life.
Upper Cave Men lived in humble dens surrounded by rocks.,Scientists thus deduce they have mastered the skill to burrow soil.,Burrows are the art of burrowing soil.
The air is not fresh in my van.,I want to open the window.,Vans have windows.
Tom hasn't washed his hair for a long period.,There are a lot of head lice on his hair.,Head lice are a common cause of hair loss.
Aunt Li is in charge of cleaning.,She always sneezes at work.,Cleaners use air.
Mary wants some hops to make beer.,Her mother picks some cone-shaped flowers from the hop vine in the yard.,Beetles grow on hops.
A couple were infected by different bacterium.,Both of them took Penicillins and recovered.,Pens have antibacterial properties.
The fishermen put four octopuses in a tub.,They fought fiercely with each other.,Octopuses are very aggressive animals.
This man had suffered from hypercalcaemia.,This man had cancer.,Hypercholesterolemia is the most common cause of cancer in men.
Many Chipmunks selected this forest as their habitat.,The seeds on the ground were decreasing.,Chipmunks rely on seed dispersal.
Knee jumping reflex is an unconditioned reflex.,Our brain can't control the knee reflex.,Neck jumping is a non-ambiguous reaction.
The researchers injected the mice with interleukins.,The rate of plasma protein formation in mice decreased rapidly while the rate of albumin formation unchanged.,Immunoglobulins stimulate plasma protein synthesis.
Tom eliminated all the mitochondria within a cell and observed the reactions occurring in it.,He only observed the reaction of glycolysis.,Hydrolysis is the process of transferring electrons from one cell to another.
The fish in this pond are frozen.,"People thawed these fish, but their cells were damaged.",Refrigeration is the process of breaking down frozen food.
Researchers want to observe stinkpots closely.,They choose to take action on summer nights.,Stinkpots live in habitats.
Jack looks at the family photo.,Jack finds that every person in the photo has a different mouth shape.,Face shapes vary greatly in size.
The doctor advised Peter to eat more foods rich in carotene.,Peter went to the supermarket and bought a lot of pumpkins.,Carotene is one of the most abundant carotenoids found in plants.
"Givenchy, who works in the petrochemical industry, wants to explore a catalyst.",Givenchy found zeolites.,Zeolites are one of the most commonly used catalysts in petrochemicals.
The doves are pregnant.,Eggs appeared in their nests.,Doves feed on eggs.
Her depression has never been treated.,She gets addicted to alcohol.,Alcoholism is a leading cause of death in young people.
Tom put the frozen meat in the water.,The frozen meat melted after an hour.,Refrigeration is the process of transferring frozen meat from one container to another.
We went to the hospital to detect genetic disease.,The doctor used pedigrees.,Pedigrees are genetic markers of disease.
My dad was freed from the disease.,We were pleased at his remission.,Emergence is the process of healing a disease.
Mary adjusted the angle of lens to observe the specimen.,"Mary found that the smaller the view,the greater the magnification.",Magnification is a measure of the magnification of an object relative to the field of view.
Some scientists vivisect animals to get the most accurate statistics.,The animals they vivisect have to   suffer the pain of being dissected soberly.,Vivisection is one of the most painful aspects of an animal's life.
The peach flowers have faded and peaches emerge one by one.,The peach tree finishes the beginning of its reproduction.,Peaches reproduce by laying eggs.
He is a naturalist.,He usually takes a trip.,Naturalists visit countries.
"A middle school student, Lily, took part in many interviews of several agencies.",She was rejected by all of the agencies.,Lily is a middle schooler.
We wanted to imitate the cloud' reflection of sunlight.,We srayed aerosol into the air to imitate that.,Clouds reflect sunlight.
Gatsby drank a lot of yogurt.,"He had just finished his meal, but soon he was hungry again.",Yogurt is a rich source of fiber.
This forest has infected ticks.,People don't enter it to avoid Infection.,Ticks infect people.
The boy has a rubella.,He goes for an antiviral vaccine injection.,Rubella is one of the leading causes of death in children.
This country in recessions had a city with prosperity.,Economist was attracted by this aberration.,Emergence leads to decline.
The boss was to assess staff performance.,He needed to calculated their task completion rates.,Staff have tasks.
I went into a temple of shamanism.,I saw many fetishistic elements.,Shamanism is a fetishistic element.
The government published a ne policy.,The public knew its meaning.,Neologism is the interpretation of meaning.
Tom's skin was exposed to the sun for a long time.,He was sunburned.,Sunburns are caused by overexposure to sunlight.
The boy is prone to sweating excessively.,The boy suffers from tinea.,Tinea is a common cause of excessive sweating.
He has been busy all day long.,He is exhausted now with full fatigue.,Migraines cause fatigue.
Jerry sweated a lot.,He had a cramp.,Sweat can cause a desire to urinate.
It's a very special environment here.,It's an estuary.,Estuaries have environments.
The bank raised interest on savings to attract the public.,The number of citizens coming to the bank to make deposits has increased.,Savings attract deposits.
Jack leaves Beijing.,Jack suffered from disassociation mentally.,Disassociation is a mental state of mind.
Scientists have collected a lot of invertebrates.,Scientist can cleary classify them.,Invertebrates belong to a class called invertebrate groups.
Logan put some neodymium into a beaker of liquid magnesium.,The neodymium dissolved.,Alkalinity is a measure of the concentration of a substance.
Tom has seen two spruces.,He found that they reached the same height.,Spruces have similar height.
Tom was suffered a strange skin disease.,The doctor suggested that he should take use of the phytotherapy and buy some medicine containing natural plants.,Phytotherapy is one of the most effective treatments used to treat skin diseases.
John went to the zoo to see the theropods.,He took a lot of pictures of different animals.,Zoos have different kinds of animals.
Linda always pays her debt in time.,She has good credits.,Credit is a measure of creditworthiness.
He has a need for heating.,He bought a heater.,Homes have heat.
Lucy smelt the ladybugs.,She found the  foul-tasting liquid from their limbs smelly.,Ladybugs are very sensitive to foul odours.
Tom bought a bulb two years ago.,"Recently, it has entered the flowering stage.",Batteries produce light.
Tom bought a plaster to treat the rash.,"He applied it on his back, hands and feet.",Plaster has antibacterial properties.
Tanager belongs to sparrow.,Tanager is fed on worms.,Sparrows are omnivores.
Mary is a feminist.,Mary devotes herself in feminism course.,Feminism is the study of the role of women in society.
They encountered an incident.,They looked for the protocols for explaination.,Protocols provide explanations.
A couple of parents are looking for their lost child.,Someone offered clues accoding to the photo they posted online.,Cousins offer clues.
Tom is a transsexual.,The  reassignment expressed his perceived inner identities.,Transsexuals identify as male to female.
The racers entered the deceleration phase.,Bob decreased the speed to 50km/h.,Racers use brakes.
My pet was infected by microscopic animals called coccidia.,It had Coccidiosis.,Coccids are microscopic animals.
There are few tree on the mountain.,This mountain often has mudslides.,Mud is a common cause of mudslide on mountain slopes.
Mario introduces his topic through a presentation while Mary just gives a speech orally.,Mario draws more attention.,Topics attract attention.
Women's health care is valued in the country.,Contraception is advocated here.,Cervical cancer is one of the leading causes of death in women in the developing world.
The identity of the dead body should be clarified.,The police will carry deep investigations.,Detectives conduct inquiries.
The technician set  wrong computer commands.,The robot can't work properly.,Computers cause problems.
Sam has been studying tetrapods.,"Sam has seen creatures as big as cars, and creatures as big as slaps.",Tetrapods are very similar in size to carapace-like creatures.
The dying lady hear hospice from her son.,She died with dignity as free from pain as possible.,Hospice is the death of a loved one.
Tom ate the undercooked plantains.,He tasted bitterness.,Plantains have bitterness.
Susan's cell phone is very hot after use.,She removed the battery to dissipate heat.,Cellphones have batteries.
Tom bakes biscuit in this shop.,He needs novel ideas to bake new biscuits.,Biscuits have novel ideas.
Engineers are selecting materials for giant wheels.,The engineer finally chose the electromagnet.,Electromagnetism is the process of choosing materials.
Jack is allergic to alcohol even in small amount.,Vinegars can make him allergic.,Vinegar can also irritate the skin.
Jack always isolates himself from others and tries every means to get what he wants without paying attention to others' needs and feelings.,Everyone thinks Jack is a selfish person.,Selfishness is defined as the desire to gratify one's own selfish desires.
This bird dates back to the carboniferous period.,Cockroaches could be its prey at that time.,Carboniferous periods are a time when birds are most vulnerable to attacks.
Tom connected a socket and a fish tank with a wire.,The fishes in the tank were electrocuted.,Electrocution leads to electrocution.
Jack's grandfather stopped breathing.,The doctor pronounced him dead.,Pneumonia is the most common cause of death in children.
Tom wants to change his clothes.,He opens the drawer.,Disclosures contain items.
The weather is very bad this spring.,The number of sucker is greatly reduced.,Sterilis are extremely susceptible to cold weather.
James is ill in bed and it is not convenient to go to the toilet.,The nurse used a catheter to help him urinate.,Catheters can also be used to remove bacteria from the body.
The forestry department fears the species invasion danger.,Hollyhocks is their worst enemy.,Hygroscopic threats include woodpeckers as well as other species.
I had a cooked sliced ham for each lunch.,I saw iridescence on it very often.,Iridescence is caused by the cooking of frozen ham.
The connective tissue wrapping each individual axon within the nerve contains protein.,Endoneurium contains protein.,Endones contain proteins.
Producers are in our lives.,We benefit from producers for good life quality.,Producers provide life-sustaining services.
Calcium carbonate is a gentle abrasive.,It is indispensable to toothpastes.,Dentists use calcium carbonate as a mild abrasive on the teeth.
John wanted to look at the list of articles.,He looked at the bibliography and found notes in it.,Bibliographies have lists.
The computer simulates the way planets move.,The scientists have gained new insights in their research.,Astronomers use observations.
Tom has an inflammation in his stomach.,The doctor has found eosinophils in his stomach.,Eosinsophils are proteins found in the intestines.
HATs are implicated in transcriptional activation.,HATs are hot molecules.,Activation is the process of activating hot molecules in the cell.
Tom immigranted to Africa and met Mary.,They gave birth to Billy.,Bobby is a young man who immigrates to Africa.
Pathogenic microbes sometimes attack our bodys.,Our bodies produce a lot of phenolics.,Phenolics are the mainstays of plant life.
This experiment requires a particle that have exactly the same interactions as electrons.,The researchers chose muons.,Muons are very similar to electrons.
Tom keeps scratching where he suffers from eczema.,His eczema covers more and more skin.,Scratching is one of the leading causes of skin damage.
Tim is learning the skill of mindfulness.,He learns how to recognize  the energe essence of emotions.,Mindfulness is the practice of focusing on the mind's energy.
This drug has been used up.,The doctor gave her aspirin as a substitute.,Ascorbic acid is an anticonvulsant.
Tom has overcomed a lot of barriers.,He finally succeeded.,Barriers are barriers to success.
Jack doesn't like vegetables with slender stalks.,He never eats celery.,Celery is one of the few vegetables with a slender stalk.
Piroplasmosis has spread in this area.,Numerous livestock in this area died which causes great economic loss.,Plasmosis is a disease caused by livestock.
Mr. Howard added titanium dioxide as raw material when making corundum.,He succeeded in making sapphire.,Sapphire is made of titanium dioxide.
Tom is poor.,Tom can not afford beef.,Beef is the meat of cattle.
Jim put some water in the beaker and left them on the table for a long time.,He found the volume of water decreased.,Beakers have volume.
Tom opened a sweater factory.,He raises a lot of lambs.,Lambs produce sweaters.
Designers desire to increase availability.,Designers bought a new clover.,Clover has availability.
Muscles contain plenty of fibroblasts.,Tom intakes weak type iii collagen by eating muscles.,Fibroblast production is stimulated by the presence of type ii collagen.
Socrates is a philosopher and a great man.,Socrates dies for his value and belief.,Pseudo-Philosophy is the study of values.
The meeting ends.,The attendants ends their relationships.,Attendants end relationships.
The doctor advised him to eat more fruits containing potassium.,He bought a lot of berries.,Bruises contain potassium.
There is an apple on the ground.,The sloth bent his hands and picked up the apple.,Sloth has a tendency to pick up fruit.
Lucy has been injected with the pseudoephedrine.,Her baby in the belly was checked with pseudoephedrine.,Hypnotism is a common cause of premature birth.
He needed a hard brittle lustrous dense transition metal of the platinum family.,Finally he decided to choose iridium.,Iridium is a hard crystalline solid with a lustrous density.
An argali appeared in front of the hunter.,The hunter followed it to find more of them.,Argali appear as hunters follow prey.
Jack sat on the wheelchair instead of lying on the bed.,He escaped from confinement to the bed.,Bedrooms have seatbelts.
This garden contains all plants of rose family.,Raspberries can be seen here.,Rhizomes are among the most abundant plants in the garden.
I desired to make a difference in our class.,I had ambitions in class.,Class is about making a difference.
Rose is trying ovulate to get pregnant.,The doctor asks Rose to discontinuate.,Ovulation is one of the most common causes of infertility in women.
They set a herd of turtles free on the beach.,The turtles ran out to sea.,Turtles swim in groups.
John found lice in his hair.,He knew there was more in it.,Lice can cause hair loss.
This experiment requires an extremely inert chemical resisting even the action of aqua regia.,The teacher provided them with iridium.,Iridium is a very inert chemical resist even the actions of aquas.
These hyacinths are making their nests.,They are enlarging holes in trees.,Hyacinth secrete a sticky substance called hyaluronic acid.
A flock of cuckoos flew in the distance.,They perched on the tree ahead.,Cuckoos sit on top of trees.
NO mass were measured in the two bodies.,There is no grativity then.,Mass depends on mass.
Mike wanted to take some pictures of the jackrabbits.,Mike waited under a mix of shrubs.,Shrubbery is a type of shrubbery.
Tom is allergic to beef.,Tom never eats burgers.,Burgers contain high levels of mercury.
More and more people made contributions in the development of economy.,The economic fluctuation was rising.,Income fluctuates over time.
Villagers suffered painful life when there was a heavy flood in the village.,They went to the church for prays.,Prayer is the prayer of the believers.
Tom hated his neighbor for a long time.,He beat up his neighbor violently.,Racism is a common cause of violence.
Adequate nutrients were provided for his body.,The synthesis processes were normal in his body.,Metabolism is the process of producing adequate amounts of nutrients.
Tom is not very clear about one point in class.,Tom's teacher ask him to reread the textbook.,Textbooks provide explanations.
Lucy is a secretary of the chairman of the famous factory.,She enjoys the right of having a rest at weekends.,Holidays cause relaxation.
Mary wanted to see giraffes.,She went to the zoo.,Giraffes live in zoos.
The boss wants the building to be more stable.,He took use of slabs.,Slabs have stability.
Tom is a student majoring in the paleozoology.,He mainly studies about fossil remains of animals.,Paleozoology is the study of fossil remains from the past.
Tom was bitten by a viper in the wild.,Tom had edema and erythema on his arm.,Vipers are very sensitive to infection.
Tom wants to be the winner in the Olympic Games.,He was injected with some depressants.,Hallucinogens cause depressants to be injected into the brain.
Tom took no medicine to cure his fever.,He finally has something wrong with his airway.,Fever is caused by an airway obstruction.
Lucy has taken a lot of antidepressants.,She found trazodone is the most effective one.,Tazodone acts as a serotonin reuptake inhibitor.
Rum's car was damaged.,Rum's repairman said it was a normal usage loss.,Repairs require maintenance.
Tom puts the zooplankton into the big fish tank with small fish.,Zooplankton disappears.,Zoatoms live in large fish tanks.
Biologists had observed many mammals.,They found that they visited families.,Mammals spend most of their time in families.
She bought a comb.,She used the teeth of it to clear up her hair.,Coats have teeth.
Tom knows he's dying.,Fear clutches at his heart.,Fear is the desire to die.
The walruses were locked in an artifitial river together.,The diver observed ther conatct under water sometimes.,Walruses feed on aquatic invertebrates e.
Edison ruled out all kinds of unsuitable materials.,Edison invented the light bulb with tungsten wire.,Tungsten is one of the most common materials used in light bulbs.
Tom catches octopus by the sea.,He failed because the octopus can always escape as fast as possible.,Octopuses are very fast.
There are ligaments in the shoulders of the human body.,Shoulder bones are connected together to maintain stability.,Ligaments provide stability.
He got pneumonia.,He died of it.,Pneumonia is a common cause of death in people with pneumonia.
This group of Pythons began to travel for their immigrant destination.,They spent a long time.,Pythons spend time in groups.
The farmer grows celeries.,He knows its property very well.,Celeries have properties.
The keeper bathed the gerbil in water.,"When it was over, the water was still clear.",Gerbils swim through water.
The hungry theif came to a village of fishers.,He stole their preys before they came back.,Fishers feed on prey.
A leopard fur garment needs to sacrifice countless leopards.,Environmental experts call for a ban on leopard fur.,Leopards are one of the most endangered animals on the planet.
Amy wants to wash the car with water.,She brings a long hose.,Hoses are used to carry water from one end of the car to the other.
The alien's destruction plan starts from the essential structures in biological systems.,The interfaces of biological systems were destroyed.,Destruction begins with essential structures.
Only Tom attributed all to lumber.,He is the only one who considered the free existence of things.,Lumber is a free existence.
Scientists wants to measure the illuminance of the sun.,They firstly measured the covering area of the sun.,Illuminance is a measure of the solar cover area.
Snakes are poisonous.,People are afraid of snakes.,Snakes bite people.
The astronomer calculated the size of such a Planetesimal.,His result could be compared with the size of small moons.,Planets have diameters.
Tom took some antimalarials.,His lupus was cured.,Antimalars are very effective in the treatment of Lupus erythematosus.
The maker changed the rate of Transparency of the table's suface.,The table looked more transparent.,Transparency is the rate at which a surface appears to be transparent.
Gigi has cultivated gooseberries under good conditions.,These gooseberries grow better.,Grapeberries are one of the best tasting berries on the planet.
The movie star asked for assistance.,His company gave him a hand.,Assistance is provided by companies.
There are a lot of creatures in the nature.,They play their own functions and keep the biological sphere.,Creatures function as biological spheres.
Bobbies were in trap.,The angel gave him a hand.,Catch is the act of making contact with an object.
Lisa's battery capacity is too small.,Father does some activations on her battery.,Activations can cause damage to batteries.
A bat entered our theater.,It hanged on the wall.,Bat comes from a family of bats.
Tom lacks magnesium in his body.,He was diagnosed with the cardiovascular disease.,Magnesium plays a vital role in the regulation of blood flow to the heart.
Dachshunds have long backs.,They easily damage their spines.,Sparrows are able to use their long backs to crush a parakeet.
The students found some bone-like structures in the polyps.,The teacher told them it was called the spicules.,Spicules are a type of bone structure found in many fungi.
The child was admitted to the hospital because he drank gasoline by mistake.,Doctors feel thorny in detoxifying mixed chemicals.,Dextromethorphan is one of the most commonly used chemicals in the treatment of children with alcohol dependence.
Kimi was wounded by the enemy.,He died soon after.,Talents require time.
Tom can't master division.,His mother is angry at his not mastering fundamental operation of arithmetic.,Division involves fundamental operations.
There was a swan in the office.,The official got the beautiful feather.,Swans have brilliant plumages.
Baby Tom looked into the mirror.,Tom saw himself in the mirror.,Mirrors have reflections.
Jane held the magnet close to the coin.,The coin is attracted by the magnet.,Magnetism is the attraction of a coin to a coin.
Jack wants to join Christianity.,He went to church to be baptized.,Christians are baptisms.
Missles were used to attack us.,We were killed by nuclear weapons.,Nukes are the most powerful weapons in the universe.
They studied the features of leech.,They found that they can grow to eight inches long.,Leeches grow up to eight feet long.
The staff in this hotel are well-trained in this hotel.,They can offer the guests with good service.,Staff have experience.
Mike kept several poodles.,Mike prepared enough proteins for them.,Poodles digest proteins.
Tom and Maria are good friends.,They learn a lot from each other.,Friendship is the ability to learn from one another.
Tom has burdens.,Tom was in poor health.,Obesity is a leading cause of death in the United States.
The tetrapods' tooth is romoved.,The tetrapod can't ea now.,Tetrapods use their teeth to ea.
Tom went to the eastern United States.,He saw a lot of dogwoods.,Dogwoods are trees native to western states.
Tom went to his vegetable shed.,He saw a lot of aphids.,Aphids are one of the most common pests of vegetable sheds.
Tom has caught an aphid in the bottle.,He found something sticky and stick in the bottle.,Aphids are sticky to the touch.
They studied the features of leech.,They found that they can grow to eight inches long.,Leeches grow up to eight feet long.
Donkeys are lazy.,They always stay in their home.,Laziness is the inability to stay in one place at a time.
He has no neural crest.,He doesn't have enough melanocytes in his body.,Melanocytes are a type of neural crest found in the brain.
Tom has a talent in running.,He always won in various running competitions.,Runners have ability.
The teacher's shameful action made him disgraceful.,He felt sad about his opprobrium.,Condemnation is a measure of the degree to which an action is shameful.
Tom spent the morning washing clothes and cleaning the room.,He was so tired that he fell asleep.,Warmth is the body's natural respiration.
Melinda went down to the pond to catch crabs.,The pincers scratched her finger.,Crabs scratch fingers.
Tom often faces the problem of anxiety.,It is a prominent natural state of  his nature.,Autonomy is the ability to live in harmony with nature.
