The woman gave birth to a child. The child brought psycho-physical phenomena on a new life.,Birth is the arising of the psycho-physical phenomena.,Psychosomatic phenomena are the physical manifestation of a new mental state.
Lisa places the geraniums in the bright sunny balcony. . The geranium looks vigorous with verdurous leafs and brilliant flowers.,Sunlight is needed for photosynthesis.,Geraniums are very sensitive to light so it is best to avoid direct sunlight.
Both sponges kept in this tank produced eggs and sperms. The sperm from one sponge fused with the egg from the other to achive fertilization.,Sponges are hermaphroditic but usually cross-fertilize.,Pseudo-sponges also produce spermatozoa.
My albatross is pregnant. It needs to be strong enough for the birth of its children.,Albatrosses have a hard time laying their children.,Albatrosss have a strong pelvis to provide stability.
He kind of choked a few seconds ago. He choked again seriously.,Chokes cause chokes.,Cough is a common symptom of severe traumatic brain injury.
This orcas seems going to die for hunger. He will be fine as long as catch a whale.,Orcas feed on large whales.,Orcas are omnivores.
Sedimentation was used by Stephen to separate substances in solution. The floc was finally removed after a night.,Sedimentation is the process of removing the flocculate matter.,Floc is a type of solvents.
Tom suffered from the lung cancer. His blood vessel was heavily blocked.,Blockage is caused by cancer.,Lung cancer is a very common cause of death in young adults.
The child started to drink juices regularly. His mom was satisfied about his health.,Juices are gentle nourishment to the body.,Juices help control blood sugar levels in the body.
Rachel wants to raise a special green plant. Rachel's mother bought her a pot of calyx.,Calyces are green.,Calyx is a red-green plant native to the western United States.
Amy hates hurricanes. She doesn't like summer.,Hurricanes are common during summer.,Hurricanes are a natural part of the season.
Rome is a great empire. Other countries looked up to its position.,Empires have positions.,Emperors have positions.
Tom cuts off all the leaves of an apple tree. The apple tree stops growing and dies soon.,Foliage begins photosynthesis.,Leafs are one of the few plants to die of starvation in the winter.
Archaeologists have discovered a fossil from Devonian period. This is a shark fossil.,Sharks are an old family of fish dating back many millions of years to the devonian period.,Devonian period is the period of the earliest known human contact with the sea urchin.
The aspens were exposed to pesticides. They had responses instantly.,Aspens are very sensitive to pesticides.,Aspens respond immediately to pesticides when exposed to a range of chemicals.
"There were lots of herring eggbeds here yesterday,. Today they've been eaten by yellowtail fishing.",Sculpins also feed on herring eggbeds.,Yellowtail fish eat a lot of their own food.
The pharmacist in the drugstore is very professional. He can always recommend the right medicine to the patient.,Pharmacists are health professionals who assist individuals in making the best use of medications.,Pharmacists are experts in the treatment of a wide variety of diseases.
Jack suffered from juvenile arthritis. His movement is restricted.,Juvenile rheumatoid arthritis is the most common type of arthritis in children.,Arthritis is a common cause of death in children under the age of five years.
The little guppy first left its mother's body. It started to swim.,Guppies can swim as soon as they leave their mother's body.,Guppies start to swim in water when they are about three months of age.
The cholesterol level in his blood is above the normal range. The doctor advised him to eat food rich in polyunsaturates.,Polyunsaturates can also help reduce blood cholesterol.,Polyunsaturases are a type of cholesterol-lowering drug used to lower the cholesterol in the blood.
Tom has lung cancer. Tom's cells began to proliferate uncontrollably.,Cancer is unregulated cell division.,Papilloma is the most common type of cancer in the human body.
Tom has met a monkey with a opposable thumb. He found that was a capuchin.,Capuchins have a well defined opposable thumb.,Capuchins have two opposable thumbs.
The researcher had to made chains of different numbers of  antibody molecules. He utilized interleukins to connect them.,Interleukins can make chains with any number of antibody molecules linked together.,Interleukin-6 is a member of the interferon-gamma family of proteins.
Tom fainted on the mountain. The doctor diagnosed him as acrophobia.,Acrophobia is the fear of heights.,Acrophobia is a fear of heights.
Lucy suffers from diabetes. Her eyes are affected.,Diabetes affects eyes.,Diabetes affects the eyes in a variety of ways.
"In the cold wind, the epidermis tissue of his ears was damaged. The doctor prescribed him medicine for frostbite.",Frostbite is damage to body tissue caused by the tissue being frozen.,Frostbite is a common cause of ear loss in children.
Tom was ready to have a kid. He could face the common tantrums.,Tantrums are a natural occurrence in every child's development.,Tantrums are common in children with developmental disabilities.
Tom feels dizzy while working in the office. Colleagues opened the window for him.,Buildings have windows.,Dizziness is a common symptom of many people with migraine headaches.
Luna got a collie. Luna cares about her dog.,Collies are dogs.,Collies are the most common type of canine affectionate animal.
Vagrants are impecunious. They don't have enough food to fill their stomaches.,Hunger accompanies poverty.,Peregrine falciparum is one of the most common types of papillomavir.
All radars on the road were broken. The safety of the roadways was under greater threats of speeding cars.,Radar is used by the police to catch speeding cars thereby keeping the roadways safer.,Roadways have high levels of radiation.
Tom always wore very few clothes when he was young. He has a varicocele.,Varicoceles commonly develop while a guy is going through puberty.,Varicoceles is the most common type of incontinence.
Mother took the children to see the chameleon. The child mistook the chameleon for a lizard.,Chameleons resemble lizards.,Chameleons are very similar in size to most other reptiles.
The sun shines bright like a diamound. Plants is conducting photosynthesis and grow stronger.,Photosynthesis is the process used by the plants to make their food.,Sunlight is the primary source of energy in the solar system.
This was originally a heath. There used to be many animal species.,Heaths are home to a rich assemblage of animal species.,Heaths are a group of animals with a common ancestry.
Citizens were not satisfied with the statutes. The parliament changed their decisions.,Statutes are laws made by parliament.,Legislation is the process by which decisions are made by the people of a particular state.
John wants to catch some sparrows. John laid a trap on the edge of the cliff.,Sparrows make their nest in the cliffs.,Sparrows are one of the most dangerous animals on the planet.
"The water in the lake evaporates a lot in the hot summer weather. A few days later, it rained heavily in this area.",Air can hold only a certain amount of water vapour at any given temperature.,Drought is caused by the loss of moisture in the water column during the dry season.
Jack's research work exposed him to radium radiation for a long time. This led to his getting worse and suffering from cancer.,Radium is a radiological hazard.,Radium is a radioactive isotope of lead.
The factory discharges sewage into the sea. The marine environment has been destroyed.,Ways have environmental consequences.,Suffocation is the process of removing debris from the ocean surface.
Tom put a bottle of water with 50% contaminants and 50% pathogens in his room three days ago. Now the contaminants in the bottle are 80%.,Contaminants outgrow pathogens at room temperature.,Methicillin is one of the most common antibiotics used to treat antibiotic-resistant bacteria.
A teacher makes a presentation. The students get the knowledge.,Presentation offers education.,Presentation is the process of getting the knowledge from one source to the next.
Silver has the strongest electrical conductivity. Silver can transfer energy very efficiently.,Conductivity refers to the ability of a material to transmit energy.,Electrolytes are the most abundant conductor in the universe.
This string has strong elasticity. It has good ability to strech.,Elasticity refers to the ability of a string to stretch.,Strech is the ability of a string to stretch when it is held in place by an elastic object.
Jack lives in the southeastern United States. He is likely to see cottonmouths around.,Cottonmouths are a common species in the southeastern United States.,Cottonmouths are one of the most common plant-derived insecticides used in the agricultural field.
Mario's uncle murdered an old lady. He was doomed to be sent into a prison.,Murderers go to prisons.,Prisoners are sentenced to death.
There are some differences between this two methods. A series of pictures were added to explain those differences.,Pictures explain differences.,A series of photos is a series of photographs taken over a period of time.
Winter is a proper season for amphibians. We always saw amphibians asleep.,Amphibians hibernate during winter.,Amphibians sleep during the summer months.
Jorge caught Mumps before his marriage. George and his wife have't had  children for a long time since their marriage.,Mumps can cause infertility in a small fraction of men.,Mumps is a contagious disease caused by a viral infection.
Jerry lying beside the bay needs some water to wash his feet. He walked to the bay.,Bays provide water.,Bays have shallow water.
Ladybugs can not live in cold environment. They appear in summer and autumn.,Ladybugs hibernate from winter to spring.,Bugs are one of the most common types of bumblebee.
The researcher put some Spirogyras under the microscope. The researcher discovered it's undergoing the mitosis.,Spirogyras undergo mitosis.,Mitosis is the process of breaking down the spirogyra to make it less brittle.
Tom abuses drug. Tom has dependence on drug.,Dependence occurs when someone is unable to control their use of a drug.,Dependence is the inability to control the effects of one substance over another.
Tom's sheep always have diarrhea. He went to the vet to buy medicine.,Farmers use medications to help keep their animals healthy.,Veterinarians recommend antibiotics.
This deer has  large flattened shovel-shaped antlers. It is a buck.,Bucks have large flattened shovel-shaped antlers.,Bucks have large flat shovel-like antlers while buckles have flattened shovels.
Tom took away the Prisms in the binoculars. The binoculars cannot bend the light.,Prisms are used in binoculars to bend the light.,Prisms are a type of light-emitting diode.
She bought a new kind of honey. She preferred the viscosity of the old honey.,Honey has different viscosity.,Viscosity is a measure of the amount of carbon dioxide in the air.
The patient can't stop coughing. The doctor gave him some medicine involving codeine.,Codeine is a centrally acting antitussive agent.,Codeine is a drug used to treat coughs.
The stone was erosed. The smooth becomes smooth.,Erosion is the physical removal of rock particles.,Erroneousness is caused by the process of eroding the smooth surface of a rock.
The wrapping materials were degraded. Prominent reduction of their pollution was achieved.,Degradations lead to reductions.,Decomposition is the process of reducing the amount of carbon dioxide released from the atmosphere by the burning of fossil.
They tested the fatty acids in a variety of fish. Salmon is found highest.,Salmon have fatty acid levels.,Salmon has high levels of fatty acids.
There are many cocoons spuns in leaf litter on the ground. Many caterpillars pupate here.,Caterpillars pupate in cocoons spun in leaf litter on the ground.,Cannibalization is the process of feeding on a cocoon spun.
Tom has been very anxious about work recently. He suffered from depression.,Illness can occur due to stress of the body injury etc.,Depression is a common side-effect of many antidepressants.
There is no food in the village. All the villagers went on strike.,Food has massive impact.,Farmers have a right to food.
The driver wore a pair of sungalsses. His eyes can adapt to bright conditions.,Sunglasses help the eyes adapt to bright conditions.,Sedals are a type of light-emitting diodes used to detect changes in the brightness of.
The scientist studies cloning. She knows much about the process of producing clones.,Cloning is a process of producing clones.,Cloning is the process by which a gene is inserted into the body to produce a new one.
Jane saw the driver killed by others. She is the witness of the homicide.,Homicide is the simple killing of one human being by another.,Murder is the act of killing another human being.
I had allergic reactions to a number of dairy drinks. Buttermilk was my allergen.,Buttermilk refers to a number of dairy drinks.,Allergen is the most common cause of allergic reactions in children.
There are not too many people in this village. The government can't take use of the universal method.,Methods base on demographic characteristics.,Inequality is defined as the share of the population in a given group's income divided by the number of.
Tom put some yeast when baking. He made delicious bread.,Bread has yeast.,Bread is made from yeast.
The production of mineral extraction processing has been drastically reduced. There is a shortage of raw materials for tailings processing plants.,Tailings are waste slurries produced from mineral extraction processing.,Tailings are the process of producing mineral extraction from raw materials.
Tom bought a lot marijuana by coincidence. He kept it for its high potential.,Marijuana has high potential.,Marijuana is a high-potency drug.
Tom read the manual carefully. He found many pictures.,Manuals contain pictures.,Masks have pictures.
He was sentenced to prison. He surprisingly found that prisoners could read in the reading room and learn about the outside world through TV.,Jails hold facilities.,Prisoners read.
I planted watermelon in my garden. I used pesticides to them.,Watermelons are subject to attack by a variety of insect pests.,Pesticides are chemicals used to control weeds.
We are in the age of digitalization. The process of converting from analog equipment to digital occurs in our daily life.,Digitalization is the process of converting from analog equipment to digital.,Digitalization is the process of transferring data from one source to another over a long period of time.
Tom's turnover and cost are equal this month. Tom's profit is 0 this month.,Profit is defined as earnings in excess of the cost of capital.,Cost is the amount of money a company has invested in a business.
Caterpillars are not colorful. Caterpillars are not as pretty as butterflies.,Caterpillars have pale brown heads.,Caterpods are generally a little less colorful than butterflies.
Bob's mentality has changed a lot recently. He became mature.,Maturity is a state of mind.,Maturation is the process of learning to live with one's self.
Mike was asked to create a new template. Mike should take scientific facts into consideration.,Templates base on scientific facts.,Template is a scientific fact-based system.
The service staff of this hotel lack management. The service quality of the hotel has seriously declined.,Management affects quality.,Management is the responsibility of the management of the quality of services provided by the hotel.
Jerry doesn't want to hiccup. The only way is not to breathe.,Breathing  hiccups.,Hiccup is the inability to breathe when the body is in a state of hypothermia.
The garden bloomed with roses. He found that different rose leaves had different shapes.,Roses have shape leaflets.,Roses have different shapes depending on their size.
They are poor and can't work. They receive government benefits every month.,Government provides financial assistance.,Suffocation is the act of transferring one's income from one place to another.
Tom keeps a poodle. His monthly expenses soars.,Poodles are high-maintenance dogs.,Poodles are the smallest animals on the planet.
Tom has compacted the plant. Tom has calculate the density of the plants in a wrong way.,Compaction affects plant density.,Density is the ratio of the number of leaves per unit area divided by the total number of plants.
The doctor adopted radiotherapy to treat his cancer. The cancer cells died because they lost the ability to multiple.,Radiotherapy destroys cancer cells by injuring their ability to multiple.,Radiotherapy is a type of radiation therapy used to kill cancer cells in the body.
He fastened seatbelts when getting on the bus. He wasn't thrown from the bus in the  car accident.,Seatbelts prevent a passenger from being thrown from the car.,Seatbelts are a type of seatbelt used to keep people out of the way of cars.
Technology has been advanced. The electronic devices human use become more abundant.,Technology produces diversify products.,Electronic devices have the potential to change the way we interact with the universe.
Tom had a lung infection. He was sent to the hospital for treatment soon.,Infection requires hospital care.,Infection can be life-threatening if left untreated.
Jack ate rotten fruit. Jack has a stomach bug.,Diseases are evil as is the action of bacteria.,Feces contain bacteria.
The farm is worried about the decrease in the number of bees this year. The farm brings in artificial pollination researchers.,Farms provide pollination.,Pollination is the process by which a certain type of plant releases a certain chemical into the environment.
There is a starving tayra. The starving tayra ate lots of fruits.,Tayras feed on fruit.,Tayras are omnivores.
Women's health care providers with advanced educations deserves respect. My mom as a midwife was respected by others.,Midwives are women's health care providers with advanced educations.,Midwives are physicians who specialize in the care of women's health.
Thomas is an Indian. He hunts deer for a living.,Indian hunts deer.,He is a member of the national hunting team.
Scientists have bred a new type of crop with grapes and resistant species. Scientists have crossed grapes with other species.,Hybridization is the breeding of Vitis vinifera with resistant species.,Grapes are one of the most resistant plants to the herbicide glyphosate.
These bodies in the universe are large enough to be detectable by telescope. They are called as Asteroids.,Asteroids are bodies large enough to be detectable by telescope.,Asteroids are small objects with a mass of only about one-tenth the mass of our sun.
Many domestic cats lack the ability of adaptation. They can't live well in a strange environment.,Adaptations help animals survive in their environment.,Adaptation is the ability to adapt to a new environment.
Lisa lacks water in her body. Lisa goes to hospital to inject salt water.,Salt is used to control the amount of water in the body.,Salt water is used as an anticoagulant.
Cathy put on some lotion today. Cathy's skin looked beautiful.,Lotion is a liquid used for protecting the skin.,"Lotion is used to treat a wide variety of skin conditions including rashes, pimples, redness,."
The president recently felt worse. He was diagnosed with heart diseases.,Presidents have heart diseases.,Heart disease is one of the leading causes of death in young adults.
"During the Republican period, warlords strictly controlled public opinion. Intellectuals hid in Peking University's library to debate.",Libraries are sanctuaries of free expression.,Peking is one of the most famous cities in the world.
Logan is allergic to chrysanthemum. He can't get close to pyrethrum.,Pyrethrum is a natural vegetable extract from a variety of chrysanthemum flowers.,Pyrethrum is a common cause of allergic reactions in children who are allergic to the drug.
He wanted to uproot this disease from the pathogenesis. He checked his intestinnal cell.,Pathogenesis is related to intestinal cell distruction.,Euglycemia is a common cause of euglycemic dyslipidemia in children.
They replaced the city's streetlights with ones that run on photovoltaic cells. These lights turn on automatically when the sun's rays disappear.,Photocells turn lights off during daylight hours.,Polarity is defined as the amount of energy a given amount of light can dissipate in one second.
Tonight's homework is to draw an angel. Tom draws wings first.,Angels have wings.,Angel wings are the most common type of winged animal.
There is no stick between these two carbon atoms. There is no bond between these two carbon atoms.,Sticks are carbon atom bonds.,Bond is a property of the carbon atom.
She can't digest well. She has some yogurt after dinner.,Yogurt aids digestion.,Yogurt is a rich source of carbohydrates.
Lucy falied in her experiment. She found there was some trouble with the sources of data.,Sources have drawbacks.,Folks rely on source data.
Tom is not in good health and is always ill. He is much better after taking health products.,Products provide health benefits.,Antihistamines can reduce the effects of opioids on the central nervous system.
The instruction of the prevention and control of COVID-19 in the city required the closure of public places. The libraries in the city were closed according to the instruction.,Libraries are community gathering places.,Libraries are public places open to the public.
Tom has a tumour in his stomach. He found an oncologist to treat him.,Oncologists treat patients with cancer.,Oncologists remove tumours.
He has been emotionally unstable recently. He was in a bad mood and cried every day.,Mood refers to a prolonged emotion.,Depression can be a life-threatening condition caused by a lack of emotional control over one's body.
Little Henry always goes to the intertidal zone to pick up seafood to eat. Chitons can always be seen on the dining table in their home.,Chitons are common in the intertidal zone.,Chitons are a common source of fish eaten by anglers.
Cannabis has destroyed some families. There are people suffering from social drugs.,Cannabis is used mainly as a social drug.,"Marijuana is a drug used to treat a wide variety of illnesses including cancer, epilepsy, glaucoma."
He got kidney stones. He can take some medicine to force kidney stones to come out through ureters.,Ureters connect kidneys.,Ureters are the most common sites of kidney stones in the body.
Only the strong plants that was native to the desert environments can survive here. We should plant pistachios here.,Pistachios are a native plant to desert environments.,Pistachios are one of the few plants native to a desert environment.
Tom put the seeds in the greenhouse. The seeds germinated.,Germination requires high temperature.,Heredity is the process of overwintering a seed from the soil.
I plant gourds and squash. There is something in commen between them.,Gourds are cousins of squash.,Gourds are a type of squash with a very similar appearance to the one they are named after.
There was a swamp in the village. The villagers found it became stagnant water after several years.,Swamps are characterized by slow-moving to stagnant waters.,Dwelling is the process of drying out dead vegetation.
"Since entering this profession, Tom has always reminded himself to keep his head clear. Five years later, Tom become the CEO of a listed company.",Awareness enhances success.,Examinations are the process of conducting a series of examinations of a company's financial statements.
An eclipse is going to occur in one hour. Numerous of viewers have gathered on the playground.,Eclipse has viewers.,Parks are places of entertainment.
Artificial ecosystems are ecosystems that have been formed after human intervention and modification. Microbes provide the fundamental underpinning in artificial ecosystems.,Microbes provide the fundamental underpinning of all ecosystems.,Microbes are a fundamental component of natural ecosystems.
Lucy will accumulate a lot in peacetime. She is a very good interpreter.,Interpretations require knowledge.,"Paradoxically speaking, it is the amount of time she can spend with her family during a given period."
He established his own company ten years ago and runs it successfully. He is a great entrepreneur.,Entrepreneurs start own companies.,Entrepreneurship is the process of establishing a business from scratch.
Tom had Shigellosis. Only his feces could transmit the disease to others.,Shigellosis is transmitted strictly by human feces.,Shigelloses are one of the most common infectious diseases in the animal kingdom.
The general had excellent exertions in the war. The enemies were strongly influenced.,Exertion has effects.,Intimidation is the ability to influence an individual's response to a perceived threat.
The breeder feeds pelicans a lot of food every day. Pelicans is very healthy.,Pelicans require large quantities of food daily.,Pelicans are omnivores.
Tom has to type an essay. He thought about the framework quickly.,Typing requires thinks.,An essay is a set of documents describing the principles of a particular field.
The mouth of the cicadas was removed. It couldn't suck sap anymore.,Cicadas use their mouth to suck sap.,Cicadas have a narrow mouth.
They need to study enhancer regions that control gene expression in organisms. Their research is mainly carried out in eukaryotes.,Eukaryotes also have enhancer regions to control gene expression.,Eukaryotic cells are the most abundant of all the functional regions involved in the regulation of gene expression.
The hospital hold many patients with parastic. Most death of the patients are caused by amebiasis.,Amebiasis is a leading parasitic cause of death.,Amebiasis is the leading cause of death in children under the age of five.
He was looking for the location of osteophytes. Eventually he found that it present on the ventrolateral surfaces of vertebral body.,Osteophytes are present on the ventrolateral surfaces of vertebral bodies.,Osteophytes are present in the proximal surface of the ventral surface of vertebrae.
Tom needs to compress liquids and gases every day. He prefers to compressing the gases.,Liquids are much harder to compress than gases.,Compression is the process of moving liquids from one liquid to another.
Tom cuts through epidermises. He found a lot of layers.,Epidermises consist of layers.,Epidermise is a layer of epidermis.
There was an excess terminal hair growth in a female with a male distribution pattern. The doctor thought she had hirsutism.,Hirsutism is excess terminal hair growth in women with a male distribution pattern.,Hirsutisms are a male-to-female variation in the distribution of the hair follicle.
John's favourite flower is the cyclamen. He travelled to the Mediterranean region from Spain to Iran to learn about the history of cyclamen.,Cyclamen come from the Mediterranean  from Spain to Iran.,Cyclamen is a flowering plant native to the Arabian peninsula.
Tom needs to test the decarboxylation of organic matter. The organic matter needs to be heated to provide the conditions for electron migration.,Decarboxylation requires electron shift away from the carboxylate.,Decarboxylic acid is a way to do this by dissolving the deoxyribonucleic.
The light bounces off my mirror. Reflection of light occurred on my mirror.,Reflection is when light bounces off an object.,Reflection occurs when the light is reflected off a surface.
There are many asteroids in the night sky. These asteroids form a line.,Asteroids make up the asteroid belt.,Line is a term used to indicate the distance between objects.
This town made a new road last year. The town's economy is muchu better now.,Roads encourage development.,Roads provide jobs.
Leeches feed on blood. The doctor used leeches to remove excess blood.,Leeches are applied to remove the excess blood.,Leeches can also cause a desire to urinate.
Mary used cosmetics. She felt dry eyes.,Cosmetics can cause dry eyes.,Cosmetics can irritate the skin.
Tom tried to find nettles in the garden. Tom paied special attention to those white flowers.,Nettles have white flowers.,Peregrines are one of the few plants with a white flower on their head.
The battle is a stimuli. The battle triggers world war I.,Stimuli trigger events.,Sensations trigger conflict.
There are some waterways. Many hippopotamus live there.,Hippopotamuses live in waterways.,"Hippopotamuses inhabit a wide variety of habitats including marshes, marshes in the south-east."
This bag containing special plastic materials was given to scientists. The materials were identified.,Scientists identify special plastic materials.,Materials include plastic materials.
The old couple are abondoned by their only son. Their village takes the responsibility to take care of them.,Villages take care.,Towns provide services.
Crystallization was used for this solid. This solid was purified.,Crystallization is used to purify a solid.,Solubility is the process of dissolving a solid into a liquid.
There are more than a million asteroids in the universe. They are very diverse.,Asteroids can vary greatly in size.,Asteroids are among the most diverse of all living things on the planet.
The teacher drew a picture of local terrains. Tom saw waves representing the ravines.,Terrains have ravines.,Rivers have waves.
I am sitting in the library. Books surrounding me cause my desire to read.,Libraries cause a desire to reads.,Libraries have books.
There used to be a kingdom. Many people lived in the kingdom.,Kingdoms have many people.,Kingdoms have populations.
Jack looked carefully at the baobabs. He found that it had grey bark.,Baobabs have gray bark.,Baobabs have grey bark in their bark.
My mentor stressed the realibility of my measurement. I began to improve its reproducibility.,Reliability refers to the reproducibility of a measurement.,Revercibility refers to the ability of a measurement to reproduce itself.
Tom touched the heating steel. His felt the scalding steel.,Steel has thermal conductivity.,Heather has heat.
He often feeds herbs to rabbits. Rabbits rarely get sick.,Herbs are beneficial in maintaining good animal health.,Rabbits feed on herbs.
This factory raises a lot of rabbits and foxs. Fur companies often come to the factory to buy leather.,Leather is a natural material.,Fur is made from animal hides.
Tom wants to be president. His group begins advertising.,Committees release ads.,Advertising is the process of getting people to sign up to participate in a political process.
There has been a historic battle in this city. Many people have experienced the violent treatment.,Cities experience violence.,Victims suffer from violence.
The structure of sentences can be complicated. Syntax is not very easy.,Syntax is the study of the structure of sentences.,Syntax is the process of translating a set of text into another language.
Tom has bought something in a waxy solid state. He found that was a spermaceti.,Spermaceti is a waxy solid derived from the oil of whales particularly sperm whales.,Spermaceti is a solid state when it is a little less than a few milligrams per dec.
Tom got distracted during the exam. He got a failure in the examination.,Inaccuracy occurs when there is lack of concentration.,Failure is defined as a failure to complete an examination.
Rita has been jogging for two hours and oxygen in her blood is declining. Her face looks not as red as she just started jogging.,Blood is thick with hemoglobin carrier of oxygen.,Exhaustion causes a decrease in the amount of oxygen in the blood.
The villagers found very small microcrystalline interstitial patches. One of them recognized it as a plagioclase.,Plagioclase is found as very small microcrystalline interstitial patches.,Plagioclases are small microscopic interstitial patch in the epidermis.
There are more dugongs crowded in the sea. They reproduce more geerations.,Dugongs reach sexual maturity.,Gerations occur when a large number of gerbils migrate from one place to another.
Upper Cave Men lived in humble dens surrounded by rocks. Scientists thus deduce they have mastered the skill to burrow soil.,Dens are created by burrowing into soil under rocks.,Burrowing is the art of burrowing from the ground to the top of a rock.
The air is not fresh in my van. I want to open the window.,Vans have windows.,I open the windows.
Tom hasn't washed his hair for a long period. There are a lot of head lice on his hair.,Pediculosis is an infestation of head lice on the hair of the head.,Head lice are a common cause of hair loss.
Aunt Li is in charge of cleaning. She always sneezes at work.,Cleaning accompanies sneezings.,Cleanings cause sneezing.
Mary wants some hops to make beer. Her mother picks some cone-shaped flowers from the hop vine in the yard.,Hops are the cone-shaped flower taken from the hop vine.,Cone-shaped plants are among the most popular hops in the United States.
A couple were infected by different bacterium. Both of them took Penicillins and recovered.,Penicillins are antibiotics used to treat a wide variety of bacterial infections.,Pensicills are the two most common antibiotics used to treat a variety of bacterial infections.
The fishermen put four octopuses in a tub. They fought fiercely with each other.,Octopuses tend to be profoundly antagonistic towards each other.,Octopuses are the most aggressive of all sea urchins.
This man had suffered from hypercalcaemia. This man had cancer.,Hypercalcaemia is associated with cancer.,Hypercalcaemia is a common cause of death in men who are at high risk of developing cancer.
Many Chipmunks selected this forest as their habitat. The seeds on the ground were decreasing.,Chipmunks eat the seeds.,Chipmunks rely on seed dispersal to defend themselves against other species.
Knee jumping reflex is an unconditioned reflex. Our brain can't control the knee reflex.,Reflexes are automatic unconscious responses to a certain stimuli.,Neurotrophils are involved in the control of the movement of the foot.
The researchers injected the mice with interleukins. The rate of plasma protein formation in mice decreased rapidly while the rate of albumin formation unchanged.,Interleukins cause a marked decease in synthesis of plasma proteins other than albumin.,Interleukin-mediated protein synthesis is a mechanism by which intercellular adhesion promotes the clearance of.
Tom eliminated all the mitochondria within a cell and observed the reactions occurring in it. He only observed the reaction of glycolysis.,Glycolysis occurs in the cytosol all other reactions occur in the mitochondria.,Glycolytic enzymes occur in the nucleus of a cell.
"The fish in this pond are frozen. People thawed these fish, but their cells were damaged.",Thaw causes cell damage.,Fluoxetine is used to thaw the frozen fish.
Researchers want to observe stinkpots closely. They choose to take action on summer nights.,Stinkpots are mainly nocturnal especially in the warmest summer months.,Sinkpots are one of the most common causes of winter droughts.
Jack looks at the family photo. Jack finds that every person in the photo has a different mouth shape.,Mouths have different shapes.,Mouths have different shapes.
The doctor advised Peter to eat more foods rich in carotene. Peter went to the supermarket and bought a lot of pumpkins.,Pumpkins are very high in beta-carotene.,Pumpkins are a rich source of carotenoids.
"Givenchy, who works in the petrochemical industry, wants to explore a catalyst. Givenchy found zeolites.",Zeolites are alumino silicates used widely in the petrochemical industry as catalysts.,Zeolites are one of the most commonly used catalysts in petrochemicals.
The doves are pregnant. Eggs appeared in their nests.,Doves release eggs.,Doves feed on eggs.
Her depression has never been treated. She gets addicted to alcohol.,Addiction is often a consequence of untreated depression.,Depression is a common side effect of alcohol abuse.
Tom put the frozen meat in the water. The frozen meat melted after an hour.,Thaw is a process.,Frozen meat is very high in cholesterol.
We went to the hospital to detect genetic disease. The doctor used pedigrees.,Pedigrees are used to help detect many different genetic diseases.,Pedigrees are instruments used to diagnose genetic disease in the general population.
My dad was freed from the disease. We were pleased at his remission.,Remission is defined as freedom from disease.,Rehabilitation is a process of recovering from a disease.
"Mary adjusted the angle of lens to observe the specimen. Mary found that the smaller the view,the greater the magnification.",Magnification is related to the lens' angle of view.,Magnification is a measure of the magnification of an object relative to the size of the object.
Some scientists vivisect animals to get the most accurate statistics. The animals they vivisect have to   suffer the pain of being dissected soberly.,Vivisection is animal cruelty in the name of science.,Vivisection is the process of removing a part of the body from the animal's body.
The peach flowers have faded and peaches emerge one by one. The peach tree finishes the beginning of its reproduction.,Reproduction is the time in the life cycle of a flowering plant when offspring are produced.,Peaches are the first flowering plants to reach sexual maturity.
He is a naturalist. He usually takes a trip.,Naturalists make trips.,Naturalists take trips.
"A middle school student, Lily, took part in many interviews of several agencies. She was rejected by all of the agencies.",Agencies require college education.,Agencies accept applications.
We wanted to imitate the cloud' reflection of sunlight. We srayed aerosol into the air to imitate that.,Aerosols can reflect sunlight much like clouds.,Aerosols are a type of cloud known as a 'cloud' reflecting sunlight.
"Gatsby drank a lot of yogurt. He had just finished his meal, but soon he was hungry again.",Solubility is increased by acidity in the stomach.,Yogurt is one of the best sources of protein in the human body.
This forest has infected ticks. People don't enter it to avoid Infection.,Infection occurs when one is bitten by an infected tick.,Ticks are the most common type of infectious disease in the United States.
The boy has a rubella. He goes for an antiviral vaccine injection.,Rubella is caused by the rubella virus.,Antivirals are very effective at stopping the spread of rubella from person to person.
This country in recessions had a city with prosperity. Economist was attracted by this aberration.,Prosperity is an aberration between recessions.,Recessions are the result of over-investment.
The boss was to assess staff performance. He needed to calculated their task completion rates.,Assessments indicate calculations.,Statistical analyses use statistical methods to estimate the number of times employees completed tasks in a given time period.
I went into a temple of shamanism. I saw many fetishistic elements.,Shamanism has many fetishistic elements.,Masturbation is one of the most fetishistic aspects of the animal kingdom.
The government published a ne policy. The public knew its meaning.,Policy makes senses.,Neologism is the scientific term used to describe the science of the human mind.
Tom's skin was exposed to the sun for a long time. He was sunburned.,Sunburn is actually the skin's response to injury.,Sunburn can be caused by the presence of carcinogens in the skin.
The boy is prone to sweating excessively. The boy suffers from tinea.,Tinea occurs in people who perspire a lot.,Tinea is the most common cause of sweating in children.
He has been busy all day long. He is exhausted now with full fatigue.,Fatigue results from everyday activities.,Drowsiness can also be a sign of fatigue.
Jerry sweated a lot. He had a cramp.,Cramps are due to severe loss of water through sweating.,Sweat can be a sign of dehydration.
It's a very special environment here. It's an estuary.,Estuaries provide unique environments.,Estuaries are part of the estuaries system.
