Tom had a lung infection. He was sent to the hospital for treatment soon.,Infection requires hospital care.,Carcinogenesis is the process of breaking down cancer cells into their constituent parts.
Jack ate rotten fruit. Jack has a stomach bug.,Diseases are evil as is the action of bacteria.,Gastrointestinal tract infections can lead to gastrointestinal tract infections.
The farm is worried about the decrease in the number of bees this year. The farm brings in artificial pollination researchers.,Farms provide pollination.,Pollination is the process of bringing in a new species of insect to pollinate a previously undisturbed area.
There is a starving tayra. The starving tayra ate lots of fruits.,Tayras feed on fruit.,Tayras eat a wide variety of plants including the leaves of many succulents.
Women's health care providers with advanced educations deserves respect. My mom as a midwife was respected by others.,Midwives are women's health care providers with advanced educations.,Midwifes are physicians who specialize in the care of women with pre-eclampsia.
Thomas is an Indian. He hunts deer for a living.,Indian hunts deer.,He is a native of India.
Scientists have bred a new type of crop with grapes and resistant species. Scientists have crossed grapes with other species.,Hybridization is the breeding of Vitis vinifera with resistant species.,Grapes are the most resistant of all the plants to the herbicide glyphosate-based herbicide.
These bodies in the universe are large enough to be detectable by telescope. They are called as Asteroids.,Asteroids are bodies large enough to be detectable by telescope.,Asteroids are the smallest of all the stars in the solar system.
Many domestic cats lack the ability of adaptation. They can't live well in a strange environment.,Adaptations help animals survive in their environment.,Adaptation is the ability to adapt to a new environment.
Lisa lacks water in her body. Lisa goes to hospital to inject salt water.,Salt is used to control the amount of water in the body.,Salt water is used to keep the body from getting too hot.
Cathy put on some lotion today. Cathy's skin looked beautiful.,Lotion is a liquid used for protecting the skin.,Lotion is used to cleanse the skin of dirt from the inside of the skin.
The president recently felt worse. He was diagnosed with heart diseases.,Presidents have heart diseases.,Trump has a high rate of cardiovascular disease.
"During the Republican period, warlords strictly controlled public opinion. Intellectuals hid in Peking University's library to debate.",Libraries are sanctuaries of free expression.,Peking is one of the few places in the country with a university dedicated to the study of martial art.
Logan is allergic to chrysanthemum. He can't get close to pyrethrum.,Pyrethrum is a natural vegetable extract from a variety of chrysanthemum flowers.,Pyrethrum is a common side effect of the epidermal growth factor known as pyrrolidine.
He wanted to uproot this disease from the pathogenesis. He checked his intestinnal cell.,Pathogenesis is related to intestinal cell distruction.,Intestine is the outer layer of the intestinal wall in the colon.
They replaced the city's streetlights with ones that run on photovoltaic cells. These lights turn on automatically when the sun's rays disappear.,Photocells turn lights off during daylight hours.,Polarization is the process of converting sunlight into electricity.
Tonight's homework is to draw an angel. Tom draws wings first.,Angels have wings.,Angeles have wings.
There is no stick between these two carbon atoms. There is no bond between these two carbon atoms.,Sticks are carbon atom bonds.,Bond is a term used to describe a bond between two carbon atom.
She can't digest well. She has some yogurt after dinner.,Yogurt aids digestion.,Yogurt contains carbohydrates.
Lucy falied in her experiment. She found there was some trouble with the sources of data.,Sources have drawbacks.,Falsification is the process of transferring a material from one source to another using a process known as diffusion.
Tom is not in good health and is always ill. He is much better after taking health products.,Products provide health benefits.,Antihistamines can reduce the effects of many drugs on the central nervous system.
The instruction of the prevention and control of COVID-19 in the city required the closure of public places. The libraries in the city were closed according to the instruction.,Libraries are community gathering places.,Libraries have instruction.
Tom has a tumour in his stomach. He found an oncologist to treat him.,Oncologists treat patients with cancer.,Oncologists treat tumours.
He has been emotionally unstable recently. He was in a bad mood and cried every day.,Mood refers to a prolonged emotion.,Depression is a mental illness caused by a lack of emotional control over one's life.
Little Henry always goes to the intertidal zone to pick up seafood to eat. Chitons can always be seen on the dining table in their home.,Chitons are common in the intertidal zone.,Chitons are a common food source in coastal waters off the east coast of the United States as well as.
Cannabis has destroyed some families. There are people suffering from social drugs.,Cannabis is used mainly as a social drug.,Suffocation is the loss of control over one's body from one state to another.
He got kidney stones. He can take some medicine to force kidney stones to come out through ureters.,Ureters connect kidneys.,Ureters are the places in the body in which the kidney is excreted.
Only the strong plants that was native to the desert environments can survive here. We should plant pistachios here.,Pistachios are a native plant to desert environments.,Pistachios are native to deserts in the desert environment as well as in the temperate zones.
Tom put the seeds in the greenhouse. The seeds germinated.,Germination requires high temperature.,Heredity is one of the main causes of overwintering in the wild.
I plant gourds and squash. There is something in commen between them.,Gourds are cousins of squash.,Gourds are very similar to squash but have a slightly different texture.
There was a swamp in the village. The villagers found it became stagnant water after several years.,Swamps are characterized by slow-moving to stagnant waters.,Swamps have very low rainfall.
"Since entering this profession, Tom has always reminded himself to keep his head clear. Five years later, Tom become the CEO of a listed company.",Awareness enhances success.,Companies are companies with at least five years of management experience.
An eclipse is going to occur in one hour. Numerous of viewers have gathered on the playground.,Eclipse has viewers.,Crowds gather to watch eclipses.
Artificial ecosystems are ecosystems that have been formed after human intervention and modification. Microbes provide the fundamental underpinning in artificial ecosystems.,Microbes provide the fundamental underpinning of all ecosystems.,Microbes are the fundamental building blocks of natural ecosystems.
Lucy will accumulate a lot in peacetime. She is a very good interpreter.,Interpretations require knowledge.,Perspective is the ability to see things as they are presented to one another.
He established his own company ten years ago and runs it successfully. He is a great entrepreneur.,Entrepreneurs start own companies.,Entrepreneurship is the process of establishing a business from start to finish in one year.
Tom had Shigellosis. Only his feces could transmit the disease to others.,Shigellosis is transmitted strictly by human feces.,Shigelloses are one of the few infectious diseases known to be transmitted from one person to another.
The general had excellent exertions in the war. The enemies were strongly influenced.,Exertion has effects.,Estrangement is a direct consequence of exertion.
The breeder feeds pelicans a lot of food every day. Pelicans is very healthy.,Pelicans require large quantities of food daily.,Pelicans are omnivores feeding primarily on their own as they prefer to eat only their own food.
Tom has to type an essay. He thought about the framework quickly.,Typing requires thinks.,An essay is a set of documents describing the principles of a given field.
The mouth of the cicadas was removed. It couldn't suck sap anymore.,Cicadas use their mouth to suck sap.,Cicadas eat their own saliva.
They need to study enhancer regions that control gene expression in organisms. Their research is mainly carried out in eukaryotes.,Eukaryotes also have enhancer regions to control gene expression.,Eukaryotic cells are the most abundant of all the functional regions involved in the regulation of gene expression.
The hospital hold many patients with parastic. Most death of the patients are caused by amebiasis.,Amebiasis is a leading parasitic cause of death.,Parasthesias are the most common cause of death in the general population.
He was looking for the location of osteophytes. Eventually he found that it present on the ventrolateral surfaces of vertebral body.,Osteophytes are present on the ventrolateral surfaces of vertebral bodies.,Osteophytes are located on the proximal surfaces of the ventral surface of vertebrae.
Tom needs to compress liquids and gases every day. He prefers to compressing the gases.,Liquids are much harder to compress than gases.,Compression is the process of creating a mixture of liquids or gases in the presence of air.
Tom cuts through epidermises. He found a lot of layers.,Epidermises consist of layers.,Epidermise is a layer of epidermis.
There was an excess terminal hair growth in a female with a male distribution pattern. The doctor thought she had hirsutism.,Hirsutism is excess terminal hair growth in women with a male distribution pattern.,Hirsutisms are a male-to-female distribution pattern of excess terminal hairs growth in the female with.
John's favourite flower is the cyclamen. He travelled to the Mediterranean region from Spain to Iran to learn about the history of cyclamen.,Cyclamen come from the Mediterranean  from Spain to Iran.,Cyclamen is one of the most famous flowering plants in the Arabian region.
Tom needs to test the decarboxylation of organic matter. The organic matter needs to be heated to provide the conditions for electron migration.,Decarboxylation requires electron shift away from the carboxylate.,Decarboxylic acid is used as a catalyst to catalyze the electron migration in the presence of carbon.
The light bounces off my mirror. Reflection of light occurred on my mirror.,Reflection is when light bounces off an object.,Reflection occurs when the light is reflected off a surface.
There are many asteroids in the night sky. These asteroids form a line.,Asteroids make up the asteroid belt.,Line is a term used to describe the number of times a star passes through a star's field of view.
This town made a new road last year. The town's economy is muchu better now.,Roads encourage development.,Roads provide economic growth.
Leeches feed on blood. The doctor used leeches to remove excess blood.,Leeches are applied to remove the excess blood.,Leeches can also be a source of infection in people who are at high risk of developing kidney stones.
Mary used cosmetics. She felt dry eyes.,Cosmetics can cause dry eyes.,Cosmetics can irritate dry eyes especially if applied to sensitive areas.
Tom tried to find nettles in the garden. Tom paied special attention to those white flowers.,Nettles have white flowers.,Peregrines are one of the most common flowering plants in the western United States but they can also be.
The battle is a stimuli. The battle triggers world war I.,Stimuli trigger events.,Sensitization is the process of responding to stimuli in the brain to alter the way they are perceived.
There are some waterways. Many hippopotamus live there.,Hippopotamuses live in waterways.,Hippopotamuses feed on aquatic invertebrates.
This bag containing special plastic materials was given to scientists. The materials were identified.,Scientists identify special plastic materials.,Necks are the most commonly used plastic materials in the field of biotechnology.
The old couple are abondoned by their only son. Their village takes the responsibility to take care of them.,Villages take care.,Consequences lead to consequences.
Crystallization was used for this solid. This solid was purified.,Crystallization is used to purify a solid.,Stimulation is the process of dissolving a solid into a liquid.
There are more than a million asteroids in the universe. They are very diverse.,Asteroids can vary greatly in size.,Asteroids are among the most diverse of all life on the planet.
The teacher drew a picture of local terrains. Tom saw waves representing the ravines.,Terrains have ravines.,Rivers have wave-like shapes.
I am sitting in the library. Books surrounding me cause my desire to read.,Libraries cause a desire to reads.,Libraries have books.
There used to be a kingdom. Many people lived in the kingdom.,Kingdoms have many people.,Kingdoms have populations.
Jack looked carefully at the baobabs. He found that it had grey bark.,Baobabs have gray bark.,Baobabs have grey bark with a brownish-brown colour.
My mentor stressed the realibility of my measurement. I began to improve its reproducibility.,Reliability refers to the reproducibility of a measurement.,Reproducibility refers to the ability of a measurement to reproduce itself in the absence of other measurements.
Tom touched the heating steel. His felt the scalding steel.,Steel has thermal conductivity.,Heathers use heat to cool their skin.
He often feeds herbs to rabbits. Rabbits rarely get sick.,Herbs are beneficial in maintaining good animal health.,"Rabbits eat a wide variety of plants including herbs such as thyme, thyme leaves, lavender."
This factory raises a lot of rabbits and foxs. Fur companies often come to the factory to buy leather.,Leather is a natural material.,Fur is made from animal hides.
Tom wants to be president. His group begins advertising.,Committees release ads.,Advertising is the process of getting people to sign up to participate in a political process.
There has been a historic battle in this city. Many people have experienced the violent treatment.,Cities experience violence.,Victims are victims of violence.
The structure of sentences can be complicated. Syntax is not very easy.,Syntax is the study of the structure of sentences.,Syntax is the ability to write a sentence in a language other than one written by humans.
Tom has bought something in a waxy solid state. He found that was a spermaceti.,Spermaceti is a waxy solid derived from the oil of whales particularly sperm whales.,Spermaceti is a solid state when it comes to the production of a spermatozoa.
Tom got distracted during the exam. He got a failure in the examination.,Inaccuracy occurs when there is lack of concentration.,Failure is a sign of impairment.
Rita has been jogging for two hours and oxygen in her blood is declining. Her face looks not as red as she just started jogging.,Blood is thick with hemoglobin carrier of oxygen.,Jogging causes a decrease in the amount of oxygen in the blood.
The villagers found very small microcrystalline interstitial patches. One of them recognized it as a plagioclase.,Plagioclase is found as very small microcrystalline interstitial patches.,Plagioclases are small transmembrane interstitial cytoplasmic epiphytes.
There are more dugongs crowded in the sea. They reproduce more geerations.,Dugongs reach sexual maturity.,Gerations are the breeding season when the water temperature is cooler than it is during the dry season.
Upper Cave Men lived in humble dens surrounded by rocks. Scientists thus deduce they have mastered the skill to burrow soil.,Dens are created by burrowing into soil under rocks.,Caves are a type of burrowing ground generally found in the upper echelon of human evolution.
The air is not fresh in my van. I want to open the window.,Vans have windows.,Vans have airtight windows.
Tom hasn't washed his hair for a long period. There are a lot of head lice on his hair.,Pediculosis is an infestation of head lice on the hair of the head.,Head lice are a common cause of hair loss in children.
Aunt Li is in charge of cleaning. She always sneezes at work.,Cleaning accompanies sneezings.,Dizziness is a common symptom of sneezing.
Mary wants some hops to make beer. Her mother picks some cone-shaped flowers from the hop vine in the yard.,Hops are the cone-shaped flower taken from the hop vine.,Pineapple is a member of the family of hops.
A couple were infected by different bacterium. Both of them took Penicillins and recovered.,Penicillins are antibiotics used to treat a wide variety of bacterial infections.,Pens are one of the most common antibiotics used to treat people with a variety of bacterial infections.
The fishermen put four octopuses in a tub. They fought fiercely with each other.,Octopuses tend to be profoundly antagonistic towards each other.,Octopuses are the most aggressive of all the sea urchins.
This man had suffered from hypercalcaemia. This man had cancer.,Hypercalcaemia is associated with cancer.,Hypercalcauria is the most common type of malignancy in children with a high risk of developing cancer.
Many Chipmunks selected this forest as their habitat. The seeds on the ground were decreasing.,Chipmunks eat the seeds.,Chipmunks prefer to eat the seeds of other species.
Knee jumping reflex is an unconditioned reflex. Our brain can't control the knee reflex.,Reflexes are automatic unconscious responses to a certain stimuli.,Neurotrophils are involved in the control of the knee-jerk reflex.
The researchers injected the mice with interleukins. The rate of plasma protein formation in mice decreased rapidly while the rate of albumin formation unchanged.,Interleukins cause a marked decease in synthesis of plasma proteins other than albumin.,Interleukin-mediated protein kinase activity is a key determinant of the rate at which plasma protein.
Tom eliminated all the mitochondria within a cell and observed the reactions occurring in it. He only observed the reaction of glycolysis.,Glycolysis occurs in the cytosol all other reactions occur in the mitochondria.,Glycolytic enzymes are involved in the metabolism of proteins.
"The fish in this pond are frozen. People thawed these fish, but their cells were damaged.",Thaw causes cell damage.,Fluoxetine can also cause thawing of frozen fish cells.
Researchers want to observe stinkpots closely. They choose to take action on summer nights.,Stinkpots are mainly nocturnal especially in the warmest summer months.,Stinkpots are known to be active during the summer months when they are most active.
Jack looks at the family photo. Jack finds that every person in the photo has a different mouth shape.,Mouths have different shapes.,Mouths have different shapes.
The doctor advised Peter to eat more foods rich in carotene. Peter went to the supermarket and bought a lot of pumpkins.,Pumpkins are very high in beta-carotene.,Pumpkins are a rich source of carotenoids found in many plant-based foods.
"Givenchy, who works in the petrochemical industry, wants to explore a catalyst. Givenchy found zeolites.",Zeolites are alumino silicates used widely in the petrochemical industry as catalysts.,Zeolites are a group of rarer elements found in the fossil record.
The doves are pregnant. Eggs appeared in their nests.,Doves release eggs.,Doves lay their eggs at the top of their heads.
Her depression has never been treated. She gets addicted to alcohol.,Addiction is often a consequence of untreated depression.,Depression is a disease of the brain characterized by a lack of control over the actions of the central nervous system.
Tom put the frozen meat in the water. The frozen meat melted after an hour.,Thaw is a process.,Frozen meat is very high in fat.
We went to the hospital to detect genetic disease. The doctor used pedigrees.,Pedigrees are used to help detect many different genetic diseases.,Pedigrees are genetic instruments used to detect changes in the genetic makeup of a group of people who are at.
My dad was freed from the disease. We were pleased at his remission.,Remission is defined as freedom from disease.,Rehabilitation is the process of recovering from a disease.
"Mary adjusted the angle of lens to observe the specimen. Mary found that the smaller the view,the greater the magnification.",Magnification is related to the lens' angle of view.,Magnification is a function of the focal length of the lens.
Some scientists vivisect animals to get the most accurate statistics. The animals they vivisect have to   suffer the pain of being dissected soberly.,Vivisection is animal cruelty in the name of science.,Vivisection is the most painful of all aspects of the animal's functions.
The peach flowers have faded and peaches emerge one by one. The peach tree finishes the beginning of its reproduction.,Reproduction is the time in the life cycle of a flowering plant when offspring are produced.,Peach is a flowering plant.
He is a naturalist. He usually takes a trip.,Naturalists make trips.,Naturalists take trips.
"A middle school student, Lily, took part in many interviews of several agencies. She was rejected by all of the agencies.",Agencies require college education.,Agencies accept applications.
We wanted to imitate the cloud' reflection of sunlight. We srayed aerosol into the air to imitate that.,Aerosols can reflect sunlight much like clouds.,Aerosols are a type of cloud similar to the one found in the cloud's reflecting surface.
"Gatsby drank a lot of yogurt. He had just finished his meal, but soon he was hungry again.",Solubility is increased by acidity in the stomach.,Yogurt is a high-fiber rich source of carbohydrates.
This forest has infected ticks. People don't enter it to avoid Infection.,Infection occurs when one is bitten by an infected tick.,Ticks are a common cause of death in the southeastern United States.
The boy has a rubella. He goes for an antiviral vaccine injection.,Rubella is caused by the rubella virus.,Rubella is spread by direct contact with the body's immune system.
This country in recessions had a city with prosperity. Economist was attracted by this aberration.,Prosperity is an aberration between recessions.,Emergence is defined as the emergence of an economy from a state of disinflation to a full-fledged.
The boss was to assess staff performance. He needed to calculated their task completion rates.,Assessments indicate calculations.,Periods are the average number of completed tasks completed in a given period over a given time period.
I went into a temple of shamanism. I saw many fetishistic elements.,Shamanism has many fetishistic elements.,Mataras are a type of fetishistic element.
The government published a ne policy. The public knew its meaning.,Policy makes senses.,Neologism is the study of the meaning of life in the human species.
Tom's skin was exposed to the sun for a long time. He was sunburned.,Sunburn is actually the skin's response to injury.,Sunburn is a common skin condition caused by exposure to the ultraviolet rays of the sun.
The boy is prone to sweating excessively. The boy suffers from tinea.,Tinea occurs in people who perspire a lot.,Tinea is the most common cause of sweating in children.
He has been busy all day long. He is exhausted now with full fatigue.,Fatigue results from everyday activities.,Stress causes a desire to exercise.
Jerry sweated a lot. He had a cramp.,Cramps are due to severe loss of water through sweating.,Sweat can cause aching in the joints of the body.
It's a very special environment here. It's an estuary.,Estuaries provide unique environments.,Estuaries are one of the most famous marine environments in the world.
The bank raised interest on savings to attract the public. The number of citizens coming to the bank to make deposits has increased.,Interest is the price banks pay to encourage people to save at the bank.,Deposits are the number of people coming to a bank to deposit their money.
Jack leaves Beijing. Jack suffered from disassociation mentally.,Disassociation is the mental separation of person from place.,Disassociation is a mental illness caused by the loss of control over one's self.
Scientists have collected a lot of invertebrates. Scientist can cleary classify them.,Scientists classify invertebrates based on their structure.,Occipods are one of the most common invertebrate groups found in the ocean.
Logan put some neodymium into a beaker of liquid magnesium. The neodymium dissolved.,Neodymium is soluble in liquid magnesium.,Nemium is insoluble in the solution of a solution of sodium bicarbonate.
Tom has seen two spruces. He found that they reached the same height.,Spruces have same height.,Spruces reach heights.
Tom was suffered a strange skin disease. The doctor suggested that he should take use of the phytotherapy and buy some medicine containing natural plants.,Phytotherapy denotes treatment with medications produced from natural plant products.,Phytotherapy is a natural plant-based medicine used to treat a variety of skin diseases.
John went to the zoo to see the theropods. He took a lot of pictures of different animals.,Theropods are a diverse group.,Panic is one of the most common causes of death in the wild.
Linda always pays her debt in time. She has good credits.,Credit is the deferral of the payment of any debt.,Credit is the ability to pay bills over a period of time.
He has a need for heating. He bought a heater.,Heaters serve purposes.,Harmonization is the process of heating an object to a certain temperature.
Lucy smelt the ladybugs. She found the  foul-tasting liquid from their limbs smelly.,Ladybugs also have the ability to release foul-tasting liquid from their limbs.,Ladybugs are a type of foul-smelling insect.
"Tom bought a bulb two years ago. Recently, it has entered the flowering stage.",Bulbils take about two years to reach bloom stage.,Bollum is one of the oldest flowering plants.
"Tom bought a plaster to treat the rash. He applied it on his back, hands and feet.",Rashes occur in arious places on the body.,Scratching is caused by infection of the skin by bacteria called rhesus macaques.
Tanager belongs to sparrow. Tanager is fed on worms.,Tanagers eat insects.,Sparrows are omnivores.
Mary is a feminist. Mary devotes herself in feminism course.,Feminism is the mind the body the soul.,Feminism is the movement to end the oppression of women by men as a whole.
They encountered an incident. They looked for the protocols for explaination.,Incidents follow proper protocols.,Protocols describe protocols used to explain incidents.
A couple of parents are looking for their lost child. Someone offered clues accoding to the photo they posted online.,Citizens post photos.,Censorship is the process of hiding evidence from the general public.
Tom is a transsexual. The  reassignment expressed his perceived inner identities.,Transsexuals say they undergo reassignment mainly to express their perceived inner identities.,Transsexuals are people who identify as male-to-female transsexuals.
The racers entered the deceleration phase. Bob decreased the speed to 50km/h.,Deceleration is the decrease of velocity.,Deceleration is the rate of change in the acceleration of a moving object relative to the speed of light.
My pet was infected by microscopic animals called coccidia. It had Coccidiosis.,Coccidiosis is caused by microscopic animals called coccidia.,Coccidioids are microscopic animals found on the outer surface of the body but they can also be present.
There are few tree on the mountain. This mountain often has mudslides.,Mudslides result when a lack of vegetation fails to hold rainfall into the soil.,Mud is a common cause of mudslide in many parts of the country.
Mario introduces his topic through a presentation while Mary just gives a speech orally. Mario draws more attention.,Presentation draws further attention.,Presentation is the process of drawing attention to an issue by making it appear as though it is being spoken.
Women's health care is valued in the country. Contraception is advocated here.,Contraception is absolutely basic to women's health care.,Contraception involves the implantation of a baby's own sperm into the mother's womb to prevent conception.
The identity of the dead body should be clarified. The police will carry deep investigations.,Investigations lead to identification.,Investigations lead to identification.
The technician set  wrong computer commands. The robot can't work properly.,Robots require computer commands.,Robots have software commands.
"Sam has been studying tetrapods. Sam has seen creatures as big as cars, and creatures as big as slaps.",Tetrapods vary greatly in size.,Tetrapods are the largest of all the megafaunal groups.
The dying lady hear hospice from her son. She died with dignity as free from pain as possible.,Hospice allows people to die with dignity as free from pain as possible.,Hospice is the voluntary act of giving life to a loved one in the absence of pain.
Tom ate the undercooked plantains. He tasted bitterness.,Plantains look like large bananas but they have a bitter taste unless cooked.,Bitter is a common side effect of over-drinking.
Susan's cell phone is very hot after use. She removed the battery to dissipate heat.,Batteries dissipate heat.,Cellphones have a high resistance to heat.
Tom bakes biscuit in this shop. He needs novel ideas to bake new biscuits.,Bakers have novel ideas.,Biscuits are a type of biscuit made from a variety of plant-based ingredients.
Engineers are selecting materials for giant wheels. The engineer finally chose the electromagnet.,Electromagnets are used in giant wheels.,Electromagnetism is the process of choosing materials to be used in a large-scale electric vehicle.
Jack is allergic to alcohol even in small amount. Vinegars can make him allergic.,Vinegars do still contain some level of alcohol.,Vinegar can also irritate the skin making it difficult for the body to remove the substance from the skin.
Jack always isolates himself from others and tries every means to get what he wants without paying attention to others' needs and feelings. Everyone thinks Jack is a selfish person.,Selfishness is isolation in action.,Selfishness is the inability to control one's own actions without being aware of their needs or feelings.
This bird dates back to the carboniferous period. Cockroaches could be its prey at that time.,Cockroaches date back to the carboniferous period.,Cockroaches are one of the most abundant vertebrates on the planet.
Tom connected a socket and a fish tank with a wire. The fishes in the tank were electrocuted.,Wire conducts electricity.,Electrocution is the electric shock applied to the skin of a fish to cause it to fall to the ground.
Jack's grandfather stopped breathing. The doctor pronounced him dead.,Lives start with breathes.,Ectopic meningitis is the most common cause of death in children who are admitted to intensive care units.
Tom wants to change his clothes. He opens the drawer.,Drawers have clothing.,Ladies have closets.
The weather is very bad this spring. The number of sucker is greatly reduced.,Suckers are spring spawners.,Spirits are one of the leading causes of death in children under the age of five.
James is ill in bed and it is not convenient to go to the toilet. The nurse used a catheter to help him urinate.,Catheters insert into ureters.,Urine passes through the catheter into the rectum.
The forestry department fears the species invasion danger. Hollyhocks is their worst enemy.,Hollyhocks ensure danger.,Hollyhocks are one of the most threatened species on the planet due to habitat loss due to climate change.
I had a cooked sliced ham for each lunch. I saw iridescence on it very often.,Iridescence is a common phenomenon on cooked sliced ham.,Iridescence is a common sign of yellowing of the skin.
The connective tissue wrapping each individual axon within the nerve contains protein. Endoneurium contains protein.,Endoneurium refers to the connective tissue wrapping each individual axon within the nerve.,Endoneurons are a type of endogenously synthesized protein found in the connective tissues wrapping each.
Producers are in our lives. We benefit from producers for good life quality.,Producers have many beneficial effects.,Producers provide life-sustaining services to the people they produce.
Calcium carbonate is a gentle abrasive. It is indispensable to toothpastes.,Toothpastes contain gentle abrasives to help clean tooth surfaces.,Citruses are the most sensitive of all the minerals to calcium carbonate.
John wanted to look at the list of articles. He looked at the bibliography and found notes in it.,Bibliographies are lists of articles  sometimes with annotations on specific subjects.,Bibliographies are lists of articles from a single source.
The computer simulates the way planets move. The scientists have gained new insights in their research.,Simulation provides new insight.,Astronomers use computer models to study the way the solar system moves around the sun.
Tom has an inflammation in his stomach. The doctor has found eosinophils in his stomach.,Eosinophils are another cell commonly present in inflammation.,Eosinocytes are a type of cell known to be involved in the inflammation of the stomach lining.
HATs are implicated in transcriptional activation. HATs are hot molecules.,HATs are hot molecules because they are implicated in transcriptional activation.,HAT is a hot molecule involved in transcription of the transcriptional activator-mediated kinase cascade.
Tom immigranted to Africa and met Mary. They gave birth to Billy.,Migrants produce offspring.,Billy is one of the few non-Africa-born children of the year.
Pathogenic microbes sometimes attack our bodys. Our bodies produce a lot of phenolics.,Phenolics deter attack by pathogenic microbes.,Phenolics are the mainstays of many plant-based diets.
This experiment requires a particle that have exactly the same interactions as electrons. The researchers chose muons.,Muons have exactly the same interactions as electrons.,Mnons are the simplest of all elementary particles.
Tom keeps scratching where he suffers from eczema. His eczema covers more and more skin.,Scratching can lead to secondary infections when bacteria are scratched into the skin.,Ezematosis is the most common type of skin infection caused by the papillomaviruses.
Tim is learning the skill of mindfulness. He learns how to recognize  the energe essence of emotions.,Mindfulness leads to recognition of the energy essence of emotions.,Mindfulness is the ability to recognize the energium essence of emotion.
This drug has been used up. The doctor gave her aspirin as a substitute.,Aspirin has same effects.,Ascorbic acid is one of the most widely used drugs in the treatment of cardiovascular disease.
Tom has overcomed a lot of barriers. He finally succeeded.,Barriers contribute to success.,Difficulty is a measure of the degree to which a person is able to cope with a difficult situation.
Jack doesn't like vegetables with slender stalks. He never eats celery.,Celery has slender stalks.,Celery is a member of the family of plant-derived phytochemicals known as lycopene.
Piroplasmosis has spread in this area. Numerous livestock in this area died which causes great economic loss.,Piroplasms cause tremendous losses of livestock in endemic areas.,Rabies is the leading cause of death in young children in the United States.
Mr. Howard added titanium dioxide as raw material when making corundum. He succeeded in making sapphire.,Titanium creates the blue in the sapphire.,Sapphire is a silvery-white-gray-gray with a very high surface temperature of about -.
Tom is poor. Tom can not afford beef.,Beef has cost.,Meat is the main source of meat in the United States.
Jim put some water in the beaker and left them on the table for a long time. He found the volume of water decreased.,Vapour enters atmospheres.,Water dissolves slowly in the presence of hydrogen peroxide.
Tom opened a sweater factory. He raises a lot of lambs.,Lambs produce wool.,Lambs are one of the most misunderstood animals on the planet.
Designers desire to increase availability. Designers bought a new clover.,Clover increases availability.,Clover is one of the most widely used chemicals in the food industry.
Muscles contain plenty of fibroblasts. Tom intakes weak type iii collagen by eating muscles.,Fibroblasts produce weak type iii collagen.,Fibroblasticity is the body's way of compensating for the loss of collagen in the muscle.
Socrates is a philosopher and a great man. Socrates dies for his value and belief.,Philosophers emphasize values.,Philosophy is the study of the human soul as a whole.
The meeting ends. The attendants ends their relationships.,Ends cause ends.,Attendants end relationships.
The doctor advised him to eat more fruits containing potassium. He bought a lot of berries.,Berries are rich in potassium.,Bruises contain potassium.
There is an apple on the ground. The sloth bent his hands and picked up the apple.,Sloths have curve claws.,Sloths eat the flesh of other animals.
Lucy has been injected with the pseudoephedrine. Her baby in the belly was checked with pseudoephedrine.,Pseudoephedrine is presumed to cross the placenta as well as the blood brain barrier.,Pseudoephedrone is a non-steroidal anti-inflammatory drug used to block the effects of.
He needed a hard brittle lustrous dense transition metal of the platinum family. Finally he decided to choose iridium.,Iridium is a hard brittle lustrous dense transition metal of the platinum family.,Irisium is a soft brittle hard crystalline transition metal with a very high density of platinum.
An argali appeared in front of the hunter. The hunter followed it to find more of them.,Argalis are considered to be highly gregarious animals.,Arguals are a group of hunters who follow a particular direction.
Jack sat on the wheelchair instead of lying on the bed. He escaped from confinement to the bed.,Wheelchairs enable people to escape confinement.,Custody is the act of keeping a person from escaping from a confined space.
This garden contains all plants of rose family. Raspberries can be seen here.,Raspberries are members of the rose family.,Raspberries are a member of the rose family although they are a little less common in the fall.
I desired to make a difference in our class. I had ambitions in class.,Ambition is the desire to make a difference.,Impact is the ability to cause a change in one's self-perception of oneself as a person.
Rose is trying ovulate to get pregnant. The doctor asks Rose to discontinuate.,Ovulation is reestablished quickly after discontinuation.,Ovulation is the process of getting an egg from the ovaries to the mother's rectum.
They set a herd of turtles free on the beach. The turtles ran out to sea.,Turtles prefer open oceans.,Turtles are able to swim in water only by using their hind legs to propel themselves.
John found lice in his hair. He knew there was more in it.,Lice appear in clusters.,Lice live in the hair follicles.
This experiment requires an extremely inert chemical resisting even the action of aqua regia. The teacher provided them with iridium.,Iridium is extremely inert chemically resisting even the action of aqua regia.,Irisidium is a very inert gas.
These hyacinths are making their nests. They are enlarging holes in trees.,Hyacinths make their nests by enlarging holes they find in trees.,Hyacinth is one of the few plants capable of producing a large number of aphid-like seeds.
A flock of cuckoos flew in the distance. They perched on the tree ahead.,Cuckoos perch in trees.,Cuckoos sit on top of trees to watch over their prey.
NO mass were measured in the two bodies. There is no grativity then.,Gravity acts between all bodies with mass.,Mass is a measure of the amount of mass per unit time.
Mike wanted to take some pictures of the jackrabbits. Mike waited under a mix of shrubs.,Jackrabbits occupy mix shrubs.,Jackrabbins are one of the few shrubs native to the southwestern United States.
Tom is allergic to beef. Tom never eats burgers.,Hamburgers contain grind beef.,Burgers are made of beef jerky.
More and more people made contributions in the development of economy. The economic fluctuation was rising.,Fluctuations have growth.,Income fluctuates over time.
