Jack always isolates himself from others and tries every means to get what he wants without paying attention to others' needs and feelings. Everyone thinks Jack is a selfish person.,Selfishness is isolation in action.,"

Jack does not care about others."
This bird dates back to the carboniferous period. Cockroaches could be its prey at that time.,Cockroaches date back to the carboniferous period.,"

Cockroaches have a long life span."
Tom connected a socket and a fish tank with a wire. The fishes in the tank were electrocuted.,Wire conducts electricity., The fish tank was filled with water.
Jack's grandfather stopped breathing. The doctor pronounced him dead.,Lives start with breathes.,"

A few days later, the body was found in a wooded area near the base of a mountain."
Tom wants to change his clothes. He opens the drawer.,Drawers have clothing., He pulls out a box of clothes.
The weather is very bad this spring. The number of sucker is greatly reduced.,Suckers are spring spawners.,"

Stomach acid is one of the most common causes of stomach acidosis."
James is ill in bed and it is not convenient to go to the toilet. The nurse used a catheter to help him urinate.,Catheters insert into ureters.,"

Rescue services have been called in to deal with the problem."
The forestry department fears the species invasion danger. Hollyhocks is their worst enemy.,Hollyhocks ensure danger.,"

""Hollyhocks have a long history of being threatened by other species,"" said Dr."
I had a cooked sliced ham for each lunch. I saw iridescence on it very often.,Iridescence is a common phenomenon on cooked sliced ham., I didn't know what was going on.
The connective tissue wrapping each individual axon within the nerve contains protein. Endoneurium contains protein.,Endoneurium refers to the connective tissue wrapping each individual axon within the nerve., Neurons are the endoplasmic reticulum.
Producers are in our lives. We benefit from producers for good life quality.,Producers have many beneficial effects.,"

Producers have a role to play in the production process."
Calcium carbonate is a gentle abrasive. It is indispensable to toothpastes.,Toothpastes contain gentle abrasives to help clean tooth surfaces.,"

Carbonate is one of the most common abrasives used in dentistry."
John wanted to look at the list of articles. He looked at the bibliography and found notes in it.,Bibliographies are lists of articles  sometimes with annotations on specific subjects.,"

Bibliography is one of the most important sources of information about a subject."
The computer simulates the way planets move. The scientists have gained new insights in their research.,Simulation provides new insight.,"

Astronomers have found planets orbiting other stars."
Tom has an inflammation in his stomach. The doctor has found eosinophils in his stomach.,Eosinophils are another cell commonly present in inflammation.,"

Eosins can cause inflammation in the stomach."
HATs are implicated in transcriptional activation. HATs are hot molecules.,HATs are hot molecules because they are implicated in transcriptional activation., Heat is the primary source of heat.
Tom immigranted to Africa and met Mary. They gave birth to Billy.,Migrants produce offspring.,"

Mary was the daughter of a wealthy African family."
Pathogenic microbes sometimes attack our bodys. Our bodies produce a lot of phenolics.,Phenolics deter attack by pathogenic microbes.," Phenolics are found in plants, fruits, vegetables, meat, fish, nuts, seeds, fruit juices,."
This experiment requires a particle that have exactly the same interactions as electrons. The researchers chose muons.,Muons have exactly the same interactions as electrons.,"

Muons are charged particles."
Tom keeps scratching where he suffers from eczema. His eczema covers more and more skin.,Scratching can lead to secondary infections when bacteria are scratched into the skin.,"

Eczema is caused by inflammation of the skin."
Tim is learning the skill of mindfulness. He learns how to recognize  the energe essence of emotions.,Mindfulness leads to recognition of the energy essence of emotions.,"

Mindfulness is the ability to recognize emotions."
This drug has been used up. The doctor gave her aspirin as a substitute.,Aspirin has same effects.,"

""I have to take the medication."
Tom has overcomed a lot of barriers. He finally succeeded.,Barriers contribute to success.,"

He's been through a lot."
Jack doesn't like vegetables with slender stalks. He never eats celery.,Celery has slender stalks.,"

""Celery is one of the most nutritious foods in the world,"" he said."
Piroplasmosis has spread in this area. Numerous livestock in this area died which causes great economic loss.,Piroplasms cause tremendous losses of livestock in endemic areas.,"

Plasmosis is caused by a number of diseases."
Mr. Howard added titanium dioxide as raw material when making corundum. He succeeded in making sapphire.,Titanium creates the blue in the sapphire.,"

Sapphire is the most widely used raw material in the United States."
Tom is poor. Tom can not afford beef.,Beef has cost., Tom needs to have a family.
Jim put some water in the beaker and left them on the table for a long time. He found the volume of water decreased.,Vapour enters atmospheres., He then added salt to the water.
Tom opened a sweater factory. He raises a lot of lambs.,Lambs produce wool., He's an animal rights activist.
Designers desire to increase availability. Designers bought a new clover.,Clover increases availability.,"

Clover is the most common type of clover in the United States."
Muscles contain plenty of fibroblasts. Tom intakes weak type iii collagen by eating muscles.,Fibroblasts produce weak type iii collagen., Type ii collagen is the most abundant type of collagen in the body.
Socrates is a philosopher and a great man. Socrates dies for his value and belief.,Philosophers emphasize values., He is the greatest philosopher of the world.
The meeting ends. The attendants ends their relationships.,Ends cause ends.,"

Consequences of Relationship

Relationship is defined as the relationship between two people."
The doctor advised him to eat more fruits containing potassium. He bought a lot of berries.,Berries are rich in potassium.,"

Krampus is known to have a high potassium content."
There is an apple on the ground. The sloth bent his hands and picked up the apple.,Sloths have curve claws., He then threw the apple into the air.
Lucy has been injected with the pseudoephedrine. Her baby in the belly was checked with pseudoephedrine.,Pseudoephedrine is presumed to cross the placenta as well as the blood brain barrier., The baby is still alive.
He needed a hard brittle lustrous dense transition metal of the platinum family. Finally he decided to choose iridium.,Iridium is a hard brittle lustrous dense transition metal of the platinum family., Iridium is a highly crystalline metal with a very high melting point.
An argali appeared in front of the hunter. The hunter followed it to find more of them.,Argalis are considered to be highly gregarious animals., He then led the hunter to a small cave.
Jack sat on the wheelchair instead of lying on the bed. He escaped from confinement to the bed.,Wheelchairs enable people to escape confinement.,"

""I didn't know what to do,"" he said."
This garden contains all plants of rose family. Raspberries can be seen here.,Raspberries are members of the rose family.,"

Raspberries are the main source of fruit in this garden."
I desired to make a difference in our class. I had ambitions in class.,Ambition is the desire to make a difference., My goal was to change the way people think.
Rose is trying ovulate to get pregnant. The doctor asks Rose to discontinuate.,Ovulation is reestablished quickly after discontinuation.,"

Pregnancy is the most common cause of infertility in women."
They set a herd of turtles free on the beach. The turtles ran out to sea.,Turtles prefer open oceans.,"

Turtles have been known to swim in shallow water."
John found lice in his hair. He knew there was more in it.,Lice appear in clusters.,"

Lice are common in the U."
This experiment requires an extremely inert chemical resisting even the action of aqua regia. The teacher provided them with iridium.,Iridium is extremely inert chemically resisting even the action of aqua regia., Iridium is one of the most abundant elements in the world.
These hyacinths are making their nests. They are enlarging holes in trees.,Hyacinths make their nests by enlarging holes they find in trees.,"

Hyacinth is one of the most common plants in the United States."
A flock of cuckoos flew in the distance. They perched on the tree ahead.,Cuckoos perch in trees.,"

Cuckoos have a long life span."
NO mass were measured in the two bodies. There is no grativity then.,Gravity acts between all bodies with mass., Mass is the rate at which a mass is transferred from one body to another.
Mike wanted to take some pictures of the jackrabbits. Mike waited under a mix of shrubs.,Jackrabbits occupy mix shrubs., He took a picture of one of the shrubs in the picture.
Tom is allergic to beef. Tom never eats burgers.,Hamburgers contain grind beef.,"

Tom is a vegetarian."
More and more people made contributions in the development of economy. The economic fluctuation was rising.,Fluctuations have growth.," In the early 1900s, the number of people making contributions to the economy increased by about 1 percent per year."
Villagers suffered painful life when there was a heavy flood in the village. They went to the church for prays.,Prayer takes places.,"

""Prayers were given to people who had lost their homes."
Tom hated his neighbor for a long time. He beat up his neighbor violently.,Hate causes violence.,"

""He used to beat up people,"" he said."
Adequate nutrients were provided for his body. The synthesis processes were normal in his body.,Body can also synthesize when all nutrients are available.,"

Dietary protein is the main source of protein in human diets."
Tom is not very clear about one point in class. Tom's teacher ask him to reread the textbook.,Textbooks provide further details., Tom says he does not want to read it.
Lucy is a secretary of the chairman of the famous factory. She enjoys the right of having a rest at weekends.,Secretaries shall have rights.,"

In the summer, she spends time with her family."
Mary wanted to see giraffes. She went to the zoo.,Zoos have giraffes.,"

""Giraffes are very common in the wild,"" she said."
The boss wants the building to be more stable. He took use of slabs.,Buildings have slab construction.,"

""Slabs are used in a lot of construction."
Tom is a student majoring in the paleozoology. He mainly studies about fossil remains of animals.,Paleozoology is the study of fossil remains of animals.,"

He has a PhD in paleontology from the University of Cambridge."
Tom was bitten by a viper in the wild. Tom had edema and erythema on his arm.,Vipers are poisonous snakes., He lost consciousness.
Tom wants to be the winner in the Olympic Games. He was injected with some depressants.,Depressants act as stimulants during episodes.,"

""I don't know if it's a good thing or not,"" he said."
Tom took no medicine to cure his fever. He finally has something wrong with his airway.,Inflammation occurs in the airways as the body tries to battle the infections.,"

Airway fever is caused by a viral infection."
Lucy has taken a lot of antidepressants. She found trazodone is the most effective one.,Trazodone is chemically different from other antidepressants.,"

""I've been on it for about three years now,"" she said."
Rum's car was damaged. Rum's repairman said it was a normal usage loss.,Usage causes damage.,"

Rum is one of the most popular car repair companies in the U."
Tom puts the zooplankton into the big fish tank with small fish. Zooplankton disappears.,Zooplankton feeds small fish.,"

Biodiversity is one of the most important aspects of marine life."
Biologists had observed many mammals. They found that they visited families.,Mammals visit families.," In the case of mammals, it is common to see relatives."
She bought a comb. She used the teeth of it to clear up her hair.,Combs have teeth.,"

""I have a lot of hair,"" she said."
Tom knows he's dying. Fear clutches at his heart.,Dying brings fear.,"

""I'm going to die,"" he says."
The walruses were locked in an artifitial river together. The diver observed ther conatct under water sometimes.,Walruses seek out physical contact with other walruses., He also observed the flow of water from the river.
Edison ruled out all kinds of unsuitable materials. Edison invented the light bulb with tungsten wire.,Exclusion results in success., He also invented the electric light bulb.
Tom catches octopus by the sea. He failed because the octopus can always escape as fast as possible.,Octopuses have the most complex brain of all the invertebrates.,"

Octopuses have no sense of direction."
There are ligaments in the shoulders of the human body. Shoulder bones are connected together to maintain stability.,Ligaments attach shoulder bones to each other providing stability.,"

Ligaments have a number of functions."
He got pneumonia. He died of it.,Pneumonia is the most common infectious disease of the lung leading to death.,"

Pneumonia is one of the most common causes of death in the United States."
This group of Pythons began to travel for their immigrant destination. They spent a long time.,Pythons are in fact rather slow animals if moving is about travelling from one place to another.,"

Pythons arrived in the United States in the late 19th century."
The farmer grows celeries. He knows its property very well.,Celery has properties., He has a good sense of the value of the land.
"The keeper bathed the gerbil in water. When it was over, the water was still clear.",Gerbils are especially clean animals.,"

""Gerbils are very sensitive to water."
The hungry theif came to a village of fishers. He stole their preys before they came back.,Fishers also cache their prey coming back to eat it later., The hungry ate the fish.
A leopard fur garment needs to sacrifice countless leopards. Environmental experts call for a ban on leopard fur.,Leopards have very thin coats of fur.,"

Leopard fur is the most common type of fur in the United States."
Amy wants to wash the car with water. She brings a long hose.,Fluid flows through hose.,"

""I want to wash it with water,"" she says."
The alien's destruction plan starts from the essential structures in biological systems. The interfaces of biological systems were destroyed.,Interfaces are essential structures in biological systems., Biological systems are damaged.
Only Tom attributed all to lumber. He is the only one who considered the free existence of things.,Lumber is the free existence of things.,"

""Lumber is a very important part of our society,"" he said."
Scientists wants to measure the illuminance of the sun. They firstly measured the covering area of the sun.,Illuminance is defined as the amount of visible light per unit area falling on a surface., Then they measured the amount of light from the sun's surface.
Snakes are poisonous. People are afraid of snakes.,People avoid snakes.,"

Skeletons are poisonous to humans."
The astronomer calculated the size of such a Planetesimal. His result could be compared with the size of small moons.,Planetesimals are about the size of small moons.,"

Planets have a mass of about 1."
Tom took some antimalarials. His lupus was cured.,Antimalarials are another type of drug commonly used to treat lupus.,"

Antimalarial drugs have a long history in medicine."
The maker changed the rate of Transparency of the table's suface. The table looked more transparent.,Transparency is used to affect the transparency of a surface., Transparency is the amount of transparency in a table.
Gigi has cultivated gooseberries under good conditions. These gooseberries grow better.,Gooseberries thrive in cool well-drained fertile soils.,"

Grapeberries are one of the most common fruit in the United States."
The movie star asked for assistance. His company gave him a hand.,Assistance is provided by companies.,"

""I didn't have the money,"" he said."
There are a lot of creatures in the nature. They play their own functions and keep the biological sphere.,Biodiversity plays a vital role in maintaining stability in a natural ecosystem.,"

Mammals have many functions."
Bobbies were in trap. The angel gave him a hand.,Bobbies meet angels.,"

""God has given me a hand,"" he said."
Lisa's battery capacity is too small. Father does some activations on her battery.,Activations increase capacity., She has to keep it in a safe place.
A bat entered our theater. It hanged on the wall.,Theaters have walls.,"

""I don't know if it was a human being or a bat,"" he said."
Tom lacks magnesium in his body. He was diagnosed with the cardiovascular disease.,Magnesium has cardiovascular effects.,"

Magnesium deficiency is caused by a deficiency of magnesium in the body."
Dachshunds have long backs. They easily damage their spines.,Dachshunds can easily damage their spines because of their long backs.,"

Spines are the most common vertebrae in the human body."
The students found some bone-like structures in the polyps. The teacher told them it was called the spicules.,Spicules are bone-like structures found in the Hydra.,"

""I'm very concerned about the quality of the bones,"" the teacher said."
The child was admitted to the hospital because he drank gasoline by mistake. Doctors feel thorny in detoxifying mixed chemicals.,Gasoline is a rich mixture of toxic chemicals.,"

Dietary alkaloids are one of the most common drugs used in detoxification."
Kimi was wounded by the enemy. He died soon after.,Wounds kill men.,"

""He was a very good soldier."
Tom can't master division. His mother is angry at his not mastering fundamental operation of arithmetic.,Division is a fundamental operation of arithmetic.,"

Division is the most difficult part of arithmetic, but it is also the most effective."
There was a swan in the office. The official got the beautiful feather.,Officials kill swans.,"

""Hang on a second,"" he said."
Baby Tom looked into the mirror. Tom saw himself in the mirror.,Mirrors have reflections., He knew he was a man.
Jane held the magnet close to the coin. The coin is attracted by the magnet.,A coin is often made of ferromagnetic metals.,"

The magnetic field of the coin is generated by the magnetic field."
Jack wants to join Christianity. He went to church to be baptized.,Baptism is a covenantal ceremony.,"

""I want to be a Christian,"" he says."
Missles were used to attack us. We were killed by nuclear weapons.,Missiles carry nuclear weapons.,"

""I have never seen anything like this in my life."
They studied the features of leech. They found that they can grow to eight inches long.,Leeches can grow to be eight inches long.,"

Leeches grow in a variety of habitats."
The staff in this hotel are well-trained in this hotel. They can offer the guests with good service.,Staff offer quality.,"

Guests who arrive at the hotel have a good time."
Mike kept several poodles. Mike prepared enough proteins for them.,Poodles need proteins.,"

Poodles are a type of protein found in the human body."
Tom and Maria are good friends. They learn a lot from each other.,Friendships can have effects., Maria is the only one who doesn't have a crush on Maria.
Tom has burdens. Tom was in poor health.,Burdens affect health., He is a father of two young children.
The tetrapods' tooth is romoved. The tetrapod can't ea now.,Tetrapods have single teeth.,"

Tetrapods have teeth."
Tom went to the eastern United States. He saw a lot of dogwoods.,Dogwood is a common flowering tree of the eastern United States., He had a good sense of the landscape.
Tom went to his vegetable shed. He saw a lot of aphids.,Aphids feed on a wide range of greenhouse crops.,"

""Aphids are very small insects,"" he said."
Tom has caught an aphid in the bottle. He found something sticky and stick in the bottle.,Aphids leave behind a sticky thick substance known as honeydew., The aphid is very sticky.
They studied the features of leech. They found that they can grow to eight inches long.,Leeches can grow to be eight inches long.,"

Leech is one of the most common insect pests in the United States."
Donkeys are lazy. They always stay in their home.,Donkeys occupy habitats.,"

Dogs have a lot of time on their hands."
He has no neural crest. He doesn't have enough melanocytes in his body.,Melanocytes are cells derived from the neural crest., He has no melanocytes.
Tom has a talent in running. He always won in various running competitions.,Winners demonstrate excellence., He is one of the best running coaches in the world.
The teacher's shameful action made him disgraceful. He felt sad about his opprobrium.,Opprobrium is disgrace resulting from shameful actions.,"

""I don't think it's a good thing,"" he said."
Tom spent the morning washing clothes and cleaning the room. He was so tired that he fell asleep.,Fatigue results from everyday activities.,"

""I woke up at 8 a."
Melinda went down to the pond to catch crabs. The pincers scratched her finger.,Crabs wave their pincers in the air as a defense when they are disturbed.,"

""I didn't know what was going on,"" she said."
Tom often faces the problem of anxiety. It is a prominent natural state of  his nature.,Anxiety is the natural state of human nature., Anxiety is a natural response to stress.
The climate here became more and more severe. The residents here decided to migrate.,Migration depends on climates.,"

In the last few years, the number of people living in the city has increased."
Tommy hopes that azaleas will thrive. The gardener instructs him to transplant the flowers under the shade of the tree.,Azaleas grow best in partial shade.,"

Azaleas are native to the eastern United States."
Tom's car tyre got punctured. He measured the diameter and bought a new  proper tyre.,Wheels have diameters.,"

""I had to buy a new one because I didn't want to have to use the old one."
Tom's sphincters are extremely nervous. He eats something containing peppermints.,Peppermints relax sphincters., Peppermints have the ability to sense pain.
Ethernet was interrupted on my computer. I cannot get connected to the internet at a high speed.,Ethernet is a high-speed connection to the internet.,"

I have no idea how long it took me to get to the point where I can connect to the."
John went to the shop to pick up surfactants. They are classified in the low toxicity zone.,Surfactants are generally low in toxicity., The surfactant is dissolved in water.
Jack committed carjacking. This general intent crime analogous to robbery put him into jail.,Carjacking is a general intent crime analogous to robbery.,"

Carjacking is a criminal offense in the United States."
Tom lacks ketones in his blood. His blood flow is not as improved as others with normal ketones level.,Ketones play a role in improved blood flow., Ketones are the most common cause of kidney failure.
It is well-drained in the village. Junipers grow everywhere in the village.,Junipers grow in any type of soil as long as it is well-drained.,"

Junipers are common in the area."
"Susan took a glass of soda and put it on the table. After a few days, the soda water lost its carbonation.",Seltzers tend to loose their carbonation quickly because of the lack of minerals.,"

Soda water is an important source of calcium."
Tom's knee joints were hurt in a car accident. He couldn't move his legs.,Joints move legs.,"

""I'm very lucky,"" he said."
I saw Jane use anemometers to test wind direction. I told him they could only measure wind speed.,Anemometers are used to measure wind speed instead of wind direction., He said he didn't know how long it would take to go from one direction to another.
Kevin went swimming in a small river. He found a leech crawling up his leg.,Leeches live in fresh water.,"

""I thought it was going to bite me,"" he said."
The staff conveyed the new ideas they came up with to the customers. The customer were very satisfied.,Customers receive output.,"

""We have a lot of people who are very happy with our products."
John wanted to measure the declinatio. He needs to know the degrees of arc.,Declination is measured in degrees of arc., The declinatus is a measure of the degree of arc of the body.
Anacondas opened their jaws extremely wide. Anacondas swallowed their victims whole.,Anacondas swallow their victims whole by opening their jaws extremely wide., It was the only way to kill a human.
People's reading got fragmentation. It results in particular problems in their minds.,Fragmentation causes particular problems.,"

In other words, fragmentation is the process by which a book becomes fragmented."
Tom believes in heresy. Tom questioned various beliefs.,Heresy is the deliberate denial of a truth of faith., He believes in the resurrection of Jesus Christ.
"Tom has suffered from the disease. In the late period, sclerosis was manifested on Tom.",Sclerosis is a late manifestation of the disease.,"

Symptoms of the disease include pain, numbness, weakness, nausea, vomiting, loss of appetite."
Jack eats a lot of green vegetables. His digestion is very smooth.,Greens can be laxative in large amounts.,"

Green vegetables are good sources of protein."
John wanted to monitor the temperature of the room where he planted mushrooms. John bought a thermometer and put it the room.,Thermometers measure temperature absolutely.,"

""He was very concerned about the heat."
Alice's baby was always drinking a kind milk which consists of nitrates. The baby was suffered the blue-baby syndrome.,Nitrates can cause a disease in infants known as blue-baby syndrome., Nitrates are toxic to the baby.
He looked at trilobites. He saw spines on them.,Trilobites have spines., He felt pain.
Tom was very drunk last night. Tom is having a hangover.,Hangovers are usually the next-day result after consuming large amounts of alcohol., He's been drinking a lot of alcohol.
The old witch protects everything of  the tree of life. She knows its lineages.,Lineages are parts of the tree of life., She has a very strong sense of smell.
Peregrine had an eye on a fish. The fish was captured by the peregrine.,Peregrines regularly prey on waders., Peregrines are very sensitive to light.
I don't like the smell of onions. I don't like the smell of scallions.,Scallions commonly known as green onions are in the onion family., I'm not a big fan of garlic.
Doctors use fungicides to deal with different diseases. The fungicides play out different levels of activity.,Fungicides have different levels of activity against different diseases.,"

Fungicides are used to treat various diseases."
Tom poured some salt in the water. The salt dissappeared.,Salt dissolves in water.,"

""I don't know what it is,"" he said."
Tom carelessly seeded oats in the autumn. His father prevented him in time which saved a lot of food in another sense.,Oats are prone to rust when seeded in autumn.,"

Oats are rich in vitamin C."
Tom is busy with exams recently so he is very nervous. His father organized the whole family to travel.,Playing causes relaxation.,"

""I have a lot of money."
Tom has eaten something containing starches. His blood sugar has risen.,Starches are also non-reducing sugars.,"

Starches have been known to cause high blood sugar."
The government only protected the property of the rich and had no concern for the individual rights of ordinary people. The people overthrew the government by election.,Government is instituted by people to protect their rights.,"

In the early days of the revolution, the United States was one of the few countries in the world."
The family provided a bed for their pet dog. The dog can insulate itself from the cold ground.,Bedding helps insulate animals from the cold ground.,"

""He is very good at staying warm in the winter,"" his owner said."
Tom likes eating a lot of turnips. He was filled with vitamins.,Turnips contain beneficial vitamins.,"

""Turnips are very good sources of vitamin C,"" he said."
Their enemies' signal disturbed radio frequency waves. Our ground penetrating radar failed to detect subsurface features.,Ground penetrating radar utilizes radio frequency waves to detect subsurface features.,"

Subsurface noise is one of the most common sources of subsonic noise."
I want to borrow some money. I turn to banks for help.,Banks lend money to people.,"

""I have a bank account."
Tom graduated from university. Tom needs to choose working or going abroad.,Selections take places., Tom has experience in the United States.
This region is a habitat. Many hummingbirds come here every year.,Habitats attract hummingbirds., They feed on insects.
The biologists disrupted the metabolic balance maintained by several processes in the mice. They disrupted homeostasis in its body.,Homeostasis refers to metabolic balance maintained by several processes.,"

Mice have a number of metabolic pathways."
Tom likes the smell of pure and fresh. He drinks a cup of tea every day.,Tea has pleasant mild taste.,"

""I don't drink tea,"" he says."
Mario's bronchioles are blocked by something peculiar. His lobules lose function soon.,Bronchioles provide air to lobules.,"

Bronchiolosis is a common cause of bronchitis."
The real story became a big screen adaptation. Many audience commented on its dramatic effects.,Screens have dramatic effects., The film was considered to be one of the most dramatic in the history of cinema.
Lucy wants to observe stipules. She picks two the small flaps at the base of the leaf.,Stipules are two small flaps at the base of the leaf.,"

""I want to observe the stipules,"" she says."
Tom did a lot of experiments. It's proved that sound can not transmitted in vacuum.,Science provides strong evidence., Sound travels through space.
Water was used as as a new source of electricity. This hydro-energetic power manifested its own drawbacks.,Sources have drawbacks.,"

Hydro-energies are the most abundant source of energy in the world."
Jerry was stimulated. He had a reaction.,Stimuli lead to responses.," He said, ""I'm going to get up from my chair."
Tom was interested in Exoskeletons. He often observed arthropods like insects.,Exoskeletons are found principally in arthropods - insects.,"

Arthropods are small invertebrates."
The wolf was hunting the antelope. The antelope asked help from his companions.,Antelopes produce sound.,"

""I didn't know what to do,"" he said."
Jerboas are hungry. They pick up food by their toes.,Jerboas have toes.,"

Babies eat small amounts of food."
Tom is a sociologist. He often studies various phenomena in life.,Sociologists are concerned with the effect of social traits on daily life., He is the author of several books.
The weather is pleasant on the beachs. Babes are enjoying sunshine.,Babes are located in beaches.,"

Babes have a good view of the ocean."
He fastened his seat belt. He was saved from being thrown out of the car in the car accident.,Seatbelts prevent a passenger from being thrown from the car.,"

""I don't know what happened to him."
Kittiwakes were hungry. They ate a lot.,Kittiwakes have healthy appetite., But they didn't eat much of anything.
They read a very beautiful poem. They found out that it was written by the famous poet Shelley.,Poems are written by famous poets.," The poem is called ""Shelley's Poem."
His mother bought him a cygnet. Every day he catches aquatic insects to feed it.,Cygnets eat aquatic insects.,"

""Cygnet is one of the most common insect pests in the United States,"" she said."
Tom goes out in a down jacket in summer. Tom is suffering from heat stroke.,Summer is the warmest part of the year., He has to go to the emergency room.
Tom went to a moor. There he saw many species.,Heaths are home to a rich assemblage of animal species., He was able to see them.
Tim's pancreas are inflamed. He is diagnosed with pancreatitis in the hospital.,Pancreatitis occurs when the pancreas becomes inflamed.,"

Pancreatitis is a common cause of pancreatitis."
Mary watched many bison in the park. Mary found the small bison is similar to the older bison.,Bison descend from bison.,"

Bison are a large carnivorous animal."
Tom had suffers from some kind of stomach condition. Tom has long-standing dyspepsia.,Illness threatens the ability to regulate physiological processes.,"

Dyspepsias are caused by an imbalance in the body's immune system."
Nobody believed Tom's code was copied by Jack. Tom compared the two set of codes as evidence in public.,Code indicates evidence.," Jack said, ""Jack is a good programmer."
Tom raised an ant cub at home. He found that the mouthparts of this little ant were slowly getting bigger with age.,Mouthparts are the most variable of all insect characteristics.,"

Ants are very sensitive to changes in temperature."
I fed the hummingbird in my cage twice a day. It could not maintain its high metabolism.,Hummingbirds eat every ten minutes to keep up with there high metabolism., The hummingbird feeds only on insects.
The road should be of high strength. The road was made of concrete.,Concrete has strength.,"

""Roads are made of steel."
Tom has lost his way. Tom took out the map and began to determine his location.,Maps indicate locations., Tom is located in the south-east corner of the city.
Tom's mother has allergies-hay fever. Tom also has allergies- hay fever.,Allergies also seem to run in families - parents with hay fever often have children with allergies., Hay fever is the most common cause of hay fever in the United States.
He jointed too many activities. He felt tired.,Activities have negative effects., He didn't want to go to the gym.
There is a tumor in the patient's blood vessel. His blood vessel are obstructed.,Tumours are also a frequent cause of obstruction., The tumor is located in the brain.
Jack's mother never lets him take part in any kind of activities. He never gets in a dangerous situation as other kids do.,Danger involves activities.,"

""I'm very concerned about the safety of children,"" she said."
Chemicals derived from petroleum can be dangerous. Amy doesn't want to have contact with petrochemicals.,Petrochemicals are chemicals derived from petroleum.,"

Amy is sensitive to the effects of petroleum."
A weights heavier than B. A has higher pressure than B.,Pressure depends on weight.,"

B."
Jack doesn't like vegetables with slender stalks. He never eats celery.,Celery has slender stalks.,"

Celery is a common vegetable in the U."
Drought stress weakens plant water potential and photosynthesis. The plants were beginning to wilt.,Photosynthesis helps to keep it alive.,"

Plants are sensitive to drought conditions."
She is a technician. Her knowledge is very profound.,Technicians have knowledge., She is an expert in the field of electrical engineering.
Lucy has waited for Tom for a long time. She bought a book and began reading.,Waitings lead to reads.,"

""I've known Tom since I was five years old,"" she said."
Tom drank a lot and passed out. The doctor diagnosed him with alcohol poisoning.,Intoxication is defined by statute at a specified blood-alcohol ratio.,"

Drinking too much is one of the most common causes of death in the United States."
The farm grows many flowers. Farmers know how to pollinate flowers.,Farms provide pollination., Flowers are pollinated by insects.
They did an experiment about aeration. They added air into the water.,Aeration is the addition of air to water., Aeration is the process of transferring water from one place to another.
The shop sells combs. People buy them for their need.,Combs are used by people.,"

Combs are the most common type of combs in the world."
John was  thirsty but had no water. He ate some vegetables.,Vegetables retain moisture., He drank a cup of water.
Many domestic cats lack the ability of adaptation. They can't live well in a strange environment.,Adaptations help animals survive in their environment., Domestic cats have a hard time adapting to new environments.
The scientist focused on caring for the breasts for the first few weeks. They found that the breasts grow during this time.,Breasts grow during first few weeks.,"

""We have to care for the breast as much as possible."
Tom wants to eat pizza tonight. His mother bought the fermented dough from the supermarket.,Pizza is made of a piece of fermented dough.,"

Pizza is one of the most popular foods in the world."
The ape in the zoo was single last year. This year it's got a baby ape on its back.,Apes give birth to offspring.,"

Piggybacking is one of the most common primate species in the world."
"Bulbs contain tungsten wires and air. When charged, the tungsten wires will excite the air atoms and emit light.",Lighting is caused by excitation of atoms of gas in a bulb.,"

Tungsten wire is a conductor of electrical conductivity."
David committed the sin of schism. David was sentenced to hang.,Schism is the sin of sins., He was hanged.
Tom is hesitant about what major he will study in college. He finally decided to be a student majoring in microbial physiology.,Specialties include microbial physiology.,"

""I didn't want to study microbiology,"" he said."
They studied the life habits of many wild animals in South Africa. They found that those animals lived in their habit from ancient and never moved away.,Wildlife habitat the native environment of an animal.,"

""Wild animals have a long life cycle."
He wanted some subterranean fungi. He bought lots of truffles.,Truffles are subterranean fungi.,"

""I got a lot of mushrooms,"" he says."
He measured the birds with a thermometer. He found that they had body temperature.,Birds have body temperature.,"

""They are very sensitive to temperature,"" he says."
The rattlesnake was pregnant. It layed eggs.,Rattlesnakes are ovoviviparous.,"

Rattlesnakes hatch in the spring."
The product designer aimed to enhance customers' satisfaction. He redesigned the product for better utility.,Utility is a measure of satisfaction.,"

""Customers have a unique experience with the product,"" he said."
"I found that many deeply-buried rocks were exposed at the earth's surface by erosion long time ago. When I saw them again today, I noticed that exfoliation occured.",Exfoliation occurs when deeply-buried rock is exposed at the earth's surface by erosion.,"

Exfoliation is the process of removing dirt from the surface of rocks."
Amy was born with deficiencies in legs. Amy has a unsually light weight compared with others.,Deficiencies affect weight., Amy is also prone to seizures.
Mike was exposed to the Rhinoviruses. He suffered from bronchitis.,Rhinoviruses cause a bronchitis., Bronchitis is an infection of the bronchial epithelium.
Tom threw a ball at his teacher. The ball hit his teacher.,Balls have momentum.,"

""I didn't know what to do,"" he said."
Lucy has taken a vague photo. She used PS to improve the intensification.,Intensification is a chemical method of increasing the density of the photographic image.,"

""I have no idea what she is doing."
The butcher killed the goat with a dull blade in public. The goat had a big gash in its throat that bled for quite a bit.,Goats have their throats slit in front of others often with dull blades.,"

""I have no idea what happened to the goat,"" he said."
Amy observes the patient's tracheae. Amy sees bronchi on either side of the trachea.,Bronchi connect tracheae., Tracheae are small openings in the bronchial cavity.
She stroked the petals with her fingers. She felt the texture of the flowers.,Petals have texture., She smiled.
